編號,地址,避難所在之地下樓層數,轄區分局,經度,緯度,村里別,可容納人數
44.0,"臺中市北區賴旺里青島東街100號 ",1,第二分局," 120.67504",24.170733,賴旺里,540.0
45.0,臺中市北區金龍里梅亭街24巷21號,1,第二分局," 120.69066",24.161193,金龍里,100.0
46.0,臺中市北區金龍里北屯路77號,1,第二分局,120.691703,24.16166,金龍里,313.0
47.0,臺中市北區金龍里德化街41號,1,第二分局,120.690661,24.161294,金龍里,372.0
48.0,臺中市北區金龍里北屯路49之1號,2,第二分局,120.691586,24.16066,金龍里,275.0
49.0,臺中市北區賴厝里漢口路四段52號,1,第二分局,120.674869,24.166837,賴厝里,1326.0
50.0,臺中市北區賴厝里太原路二段11號,3,第二分局,120.675264,24.165579,賴厝里,667.0
51.0,"臺中市北區賴厝里漢口路四段102號 ",3,第二分局," 120.67779",24.167097,賴厝里,363.0
52.0,臺中市北區賴厝里漢口路四段208號,1,第二分局,120.680345,24.166879,賴厝里,385.0
53.0,"臺中市北區頂厝里太原路二段241號 ",2,第二分局,120.682907,24.165703,頂厝里,465.0
54.0,臺中市北區賴厝里綏遠路1號,1,第二分局,120.680386,24.165479,賴厝里,906.0
55.0,臺中市北區賴厝里永興街281號,1,第二分局,120.682303,24.165479,賴厝里,378.0
56.0,臺中市北區賴厝里梅川西路三段66號,2,第二分局,120.676913,24.165545,賴厝里,200.0
57.0,臺中市北區賴福里大德街253號,1,第二分局,120.678223,24.164406,賴福里,178.0
58.0,臺中市北區建興里衛道路75巷5號,1,第二分局," 120.68786",24.162147,建興里,88.0
59.0,臺中市北區建興里永興街114號,1,第二分局,120.682473,24.161655,建興里,326.0
60.0,臺中市北區建興里梅亭街196號,1,第二分局,120.684214,24.160568,建興里,1162.0
61.0,臺中市北區建興里大義街109號,1,第二分局,120.683533,24.161234,建興里,153.0
62.0,臺中市北區頂厝里進化北路261號,2,第二分局,120.683556,24.16286,頂厝里,623.0
63.0,"臺中市北區崇德里太原路三段30號 ",1,第二分局," 120.68634",24.164985,崇德里,346.0
64.0,臺中市北區崇德里太原路三段78號,2,第二分局,120.687839,24.164881,崇德里,906.0
65.0,臺中市北區崇德里北興街166號,1,第二分局," 120.68640",24.164219,崇德里,1026.0
66.0,臺中市北區頂厝里青島路三段168號,3,第二分局,120.683141,24.168348,頂厝里,2790.0
67.0,臺中市北區頂厝里北興街336號,2,第二分局," 120.68185",24.164293,頂厝里,473.0
68.0,臺中市北區頂厝里永興街298巷1號,1,第二分局,120.682655,24.166273,頂厝里,231.0
69.0,臺中市北區頂厝里永興街298巷7號,1,第二分局," 120.68328",24.166475,頂厝里,169.0
70.0,臺中市北區賴明里青島路一段429號,1,第二分局," 120.67445",24.169336,賴明里,364.0
71.0,臺中市北區賴村里進化北路367號,2,第二分局,120.681558,24.154553,賴村里,957.0
72.0,臺中市北區明新里太原八街126號,1,第二分局," 120.67264",24.165653,明新里,296.0
73.0,臺中市北區梅川里天津路二段192號,1,第二分局,120.678422,24.169685,梅川里,358.0
74.0,臺中市北區梅川里文昌東二街142號,1,第二分局,120.677681,24.169578,梅川里,343.0
75.0,臺中市北區梅川里梅川西路四段149號,3,第二分局,120.6787579,24.16918017,梅川里,2827.0
76.0,臺中市北區梅川里永興街367號,1,第二分局," 120.68276",24.168333,梅川里,2036.0
77.0,臺中市北區明新里太原六街18號,1,第二分局,120.670673,24.165755,明新里,121.0
78.0,臺中市北區賴興里文昌東一街63號,1,第二分局," 120.67705",24.170624,賴興里,144.0
79.0,臺中市北區梅川里永興街369號,2,第二分局,120.68276,24.168009,梅川里,398.0
80.0,臺中市北區金龍里錦中街120號,1,第二分局,120.6862237,24.1559556,金龍里,83.0
81.0,臺中市北區頂厝里崇德路一段494號,1,第二分局,120.685273,24.164464,頂厝里,435.0
82.0,臺中市北區頂厝里漢口路四段367號,2,第二分局," 120.68282",24.167456,頂厝里,1012.0
83.0,臺中市北區金龍里健行路174號,1,第二分局,120.686556,24.159213,金龍里,207.0
84.0,臺中市北區金龍里益華街109號,1,第二分局,120.689549,24.161117,金龍里,265.0
85.0,臺中市北區賴旺里青島路一段42號,1,第二分局,120.674193,24.172107,賴旺里,225.0
86.0,臺中市北區金龍里梅亭街52號,2,第二分局,120.689779,24.160288,金龍里,250.0
87.0,臺中市北區金龍里梅亭街21號,1,第二分局,120.690504,24.15996,金龍里,166.0
88.0,臺中市北區金龍里北屯路45號,1,第二分局,120.691647,24.160473,金龍里,104.0
89.0,臺中市北區金龍里健行路6號,1,第二分局,120.690799,24.159241,金龍里,208.0
90.0,臺中市北區育德里篤行路398號,1,第二分局,120.673759,24.157985,育德里,651.0
91.0,臺中市北區邱厝里學士路151號,1,第二分局,120.680775,24.158294,邱厝里,364.0
92.0,臺中市北區邱厝里美德街34號,1,第二分局,120.683992,24.157713,邱厝里,216.0
93.0,臺中市北區邱厝里美德街48號,1,第二分局,120.683381,24.157768,邱厝里,416.0
94.0,臺中市北區邱厝里大義街29巷37號,1,第二分局,120.682682,24.158618,邱厝里,923.0
95.0,"臺中市北區邱厝里崇德路168巷6號 ",1,第二分局,120.6850687,24.1584868,邱厝里,216.0
96.0,臺中市北區邱厝里崇德路一段106號,1,第二分局,120.685399,24.157382,邱厝里,333.0
97.0,臺中市北區邱厝里健行路321號,1,第二分局,120.684306,24.15889,邱厝里,500.0
98.0,臺中市北區邱厝里健行路371號,2,第二分局," 120.68272",24.159194,邱厝里,989.0
99.0,臺中市北區邱厝里健行路431號,1,第二分局,120.681296,24.158956,邱厝里,468.0
100.0,臺中市北區邱厝里美德街42號,1,第二分局,120.683522,24.157788,邱厝里,183.0
101.0,臺中市北區邱厝里美德街68巷8號,1,第二分局,120.68342,24.157831,邱厝里,571.0
102.0,臺中市北區邱厝里大義街22號之5,1,第二分局,120.683831,24.158420,邱厝里,861.0
103.0,臺中市北區邱厝里崇德路一段91巷1號,1,第二分局,120.684612,24.158434,邱厝里,70.0
104.0,臺中市北區邱厝里永興街2號,1,第二分局,120.682443,24.158373,邱厝里,150.0
105.0,臺中市北區賴村里梅亭街281號,1,第二分局,120.680696,24.160499,賴村里,3102.0
106.0,臺中市北區崇德里太原路三段30號,1,第二分局,120.68633,24.164909,崇德里,345.0
107.0,臺中市北區賴村里德化街435號,1,第二分局,120.677538,24.161598,賴村里,223.0
108.0,臺中市北區明德里漢口路三段88號,1,第二分局,120.669315,24.166625,明德里,245.0
109.0,臺中市北區賴村里進化北路435號,1,第二分局,120.676012,24.162973,賴村里,586.0
110.0,臺中市北區頂厝里青島路三段180號,3,第二分局,120.683478,24.168706,頂厝里,2790.0
111.0,臺中市北區頂厝里北興街322號,2,第二分局,120.682005,24.164133,頂厝里,473.0
112.0,臺中市北區賴村里德化街439號,1,第二分局,120.677083,24.161608,賴村里,254.0
113.0,臺中市北區賴厝里太原路二段1號,2,第二分局,120.674257,24.165334,賴厝里,667.0
114.0,臺中市北區賴厝里太原路二段241號,2,第二分局,120.682907,24.165703,賴厝里,465.0
115.0,臺中市北區賴福里大德街253號,1,第二分局,120.678223,24.164406,賴福里,285.0
116.0,臺中市北區頂厝里永興街290號,1,第二分局,120.682587,24.165891,頂厝里,304.0
117.0,臺中市北區賴厝里永興街313號,1,第二分局,120.68243,24.166322,賴厝里,331.0
118.0,臺中市北區建興里健行路354號,2,第二分局,120.682933,24.159392,建興里,1093.0
119.0,臺中市北區賴村里進化北路369號,1,第二分局,120.678521,24.162927,賴村里,520.0
120.0,臺中市北區賴村里進化北路365號,1,第二分局,120.679325,24.162846,賴村里,2119.0
121.0,臺中市北區賴村里尚德街110號,1,第二分局,120.677561,24.160875,賴村里,221.0
122.0,臺中市北區賴厝里太原路11號,2,第二分局,120.675264,24.165579,賴厝里,667.0
123.0,臺中市北區賴福里進化北路416號,1,第二分局,120.675661,24.163336,賴福里,141.0
124.0,臺中市北區達興里梅亭街238號,1,第二分局," 120.68271",24.160628,達興里,944.0
125.0,臺中市北區賴村里德化街399號,1,第二分局," 120.67882",24.161811,賴村里,308.0
126.0,臺中市北區建興里衛道路89之2號,1,第二分局," 120.68578",24.162881,建興里,604.0
127.0,臺中市北區崇德里進化北路173號,1,第二分局," 120.68615",24.163117,崇德里,217.0
128.0,臺中市北區頂厝里永興街165號,2,第二分局,120.681985,24.15941,頂厝里,668.0
129.0,臺中市北區金龍里榮華街26號,1,第二分局,120.686777,24.159834,金龍里,217.0
130.0,臺中市北區金龍里榮華街11號,1,第二分局,120.691353,24.159738,金龍里,497.0
131.0,臺中市北區崇德里榮華街201之9號,1,第二分局," 120.68661",24.166559,崇德里,258.0
132.0,臺中市北區金龍里梅亭街47號,1,第二分局,120.690192,24.159988,金龍里,200.0
133.0,臺中市北區金龍里梅亭街7號,1,第二分局,120.690777,24.159893,金龍里,125.0
134.0,臺中市北區金龍里梅亭街40號,1,第二分局,120.690078,24.160408,金龍里,183.0
135.0,臺中市北區金龍里德化街64號,1,第二分局,120.690074,24.161588,金龍里,100.0
136.0,臺中市北區金龍里梅亭街10-8號,1,第二分局,120.691185,24.160295,金龍里,83.0
137.0,臺中市北區育德里大德街85巷25號,1,第二分局,120.678051,24.158614,育德里,100.0
138.0,臺中市北區育德里健行路585號,2,第二分局,120.677072,24.158982,育德里,289.0
139.0,臺中市北區育德里梅川東路三段169號,1,第二分局,120.676554,24.158508,育德里,781.0
140.0,臺中市北區育德里美德街302號,1,第二分局,120.676424,24.158342,育德里,233.0
141.0,臺中市北區育德里美德街218號,1,第二分局,120.678963,24.15831,育德里,83.0
142.0,臺中市北區育德里大德街82巷14號,1,第二分局,120.679379,24.158705,育德里,83.0
143.0,臺中市北區邱厝里健行路359號,1,第二分局,120.6810245,24.1588792,邱厝里,90.0
144.0,臺中市北區育德里育德路32號,1,第二分局,120.6764532,24.157669,育德里,166.0
145.0,臺中市北區育德里健行路443號,1,第二分局,120.680376,24.158467,育德里,2319.0
146.0,臺中市北區育德里育德路20號,1,第二分局,120.67943,24.157657,育德里,107.0
147.0,臺中市北區育德里美德街190號,1,第二分局,120.680197,24.15829,育德里,100.0
148.0,臺中市北區育德里美德街177號,1,第二分局,120.680269,24.158059,育德里,500.0
149.0,臺中市北區育德里美德街189號之4,1,第二分局,120.679600,24.158314,育德里,176.0
150.0,臺中市北區中達里育德路171號,1,第二分局,120.673103,24.157290,中達里,128.0
151.0,臺中市北區邱厝里育德路13號,1,第二分局," 120.67967",24.157260,邱厝里,116.0
152.0,臺中市北區育德里育德路22號,1,第二分局,120.679325,24.157775,育德里,250.0
153.0,臺中市北區育德里美德街201號,1,第二分局,120.679317,24.158114,育德里,300.0
154.0,臺中市北區育德里美德街187號,1,第二分局,120.680269,24.158059,育德里,666.0
155.0,臺中市北區育德里篤行路408號,1,第二分局,120.6715104,24.158315,育德里,445.0
156.0,臺中市北區育德里篤行路387號,1,第二分局,120.673467,24.158722,育德里,166.0
157.0,臺中市北區育德里公園路225號,1,第二分局,120.677335,24.150896,育德里,367.0
158.0,臺中市北區邱厝里崇德路一段63號,1,第二分局," 120.68487",24.158101,邱厝里,107.0
159.0,臺中市北區邱厝里崇德路一段61號,1,第二分局," 120.68485",24.157980,邱厝里,107.0
160.0,臺中市北區邱厝里健行路307號,1,第二分局,120.684608,24.158892,邱厝里,83.0
161.0,臺中市北區邱厝里健行路305號,1,第二分局,120.684653,24.158878,邱厝里,83.0
162.0,臺中市北區邱厝里健行路303號,1,第二分局,120.684698,24.158891,邱厝里,83.0
163.0,臺中市北區邱厝里邱厝南巷211號,1,第二分局,120.68617,24.160478,邱厝里,213.0
164.0,臺中市北區邱厝里健行路359號,2,第二分局,120.6810245,24.1588792,邱厝里,1094.0
165.0,臺中市北區頂厝里青島路168號,3,第二分局,120.683141,24.168348,頂厝里,2790.0
166.0,臺中市北區賴厝里太原路二段199號,4,第二分局,120.681163,24.165478,賴厝里,2382.0
167.0,臺中市北區頂厝里漢口路四段326號,2,第二分局,120.684399,24.166834,頂厝里,552.0
168.0,臺中市北區育德里篤行路377號,3,第二分局,120.673545,24.158003,育德里,990.0
169.0,臺中市北區育德里美德街211號,1,第二分局,120.679025,24.15808,育德里,246.0
170.0,臺中市北區崇德里崇德路一段462號,2,第二分局,120.6829817,24.1635376,崇德里,725.0
171.0,臺中市北區育德里尚德街46號,2,第二分局,120.677777,24.158799,育德里,202.0
172.0,臺中市北區育德里健行路485號,2,第二分局,120.677902,24.159037,育德里,498.0
173.0,臺中市北區邱厝里育德路1號,4,第二分局,120.6783071,24.1571781,邱厝里,1342.0
174.0,臺中市北區賴厝里山西路一段53號,2,第二分局,120.675072,24.165642,賴厝里,1046.0
175.0,臺中市北區賴厝里綏遠路一段28號,2,第二分局,120.68084,24.166264,賴厝里,1946.0
176.0,臺中市北區賴厝里漢口路四段82號,3,第二分局,120.676141,24.166843,賴厝里,1783.0
177.0,臺中市北區崇德里崇德路一段502號,1,第二分局," 120.68534",24.164740,崇德里,134.0
178.0,臺中市北區頂厝里進化北路227號,1,第二分局,120.684549,24.162814,頂厝里,280.0
179.0,臺中市北區建興里衛道路127巷23號之1,1,第二分局,120.682353,24.1620172,建興里,90.0
180.0,臺中市北區達興里崇德路一段268之1號,2,第二分局," 120.68531",24.162196,達興里,1335.0
181.0,臺中市北區賴福里衛道二街5號,2,第二分局,120.680811,24.163739,賴福里,108.0
182.0,臺中市北區金龍里衛道路35巷1弄15號,1,第二分局,120.688723,24.161754,金龍里,198.0
183.0,臺中市北區邱厝里學士路91號,1,第二分局," 120.68164",24.156668,邱厝里,1235.0
184.0,臺中市北區崇德里崇德路一段506號,1,第二分局," 120.68527",24.164904,崇德里,84.0
185.0,臺中市北區賴旺里青島路12號,1,第二分局,120.673786,24.173261,賴旺里,1419.0
186.0,臺中市北區建興里衛道路155之1號,1,第二分局,120.682924,24.162299,建興里,264.0
187.0,臺中市北區頂厝里學士路312號,1,第二分局,120.6837,24.166834,頂厝里,1064.0
188.0,臺中市北區梅川里綏遠路一段72號,1,第二分局," 120.68119",24.168617,梅川里,2246.0
189.0,臺中市北區梅川里漢口路四段345巷18號,1,第二分局,120.6771179,24.1670854,梅川里,723.0
190.0,臺中市北區育德里美德街281號,1,第二分局,120.676935,24.158154,育德里,156.0
191.0,臺中市北區賴村里大德街221號,1,第二分局," 120.67850",24.162944,賴村里,248.0
192.0,臺中市北區頂厝里進化北路259號,1,第二分局,120.683826,24.162818,頂厝里,781.0
193.0,臺中市北區賴福里太原路二段182號,1,第二分局,120.680384,24.164971,賴福里,2258.0
194.0,臺中市北區賴福里太原路二段88號之3,1,第二分局," 120.67847",24.165137,賴福里,2331.0
195.0,臺中市北區金龍里益華街157號,1,第二分局," 120.68973",24.162260,金龍里,125.0
196.0,臺中市北區賴村里學士路275之1號,1,第二分局,120.680574,24.162837,賴村里,1429.0
197.0,臺中市北區育德里育德路100號,1,第二分局,120.674278,24.157841,育德里,1754.0
198.0,臺中市北區賴村里梅亭街417號,1,第二分局,120.678929,24.160301,賴村里,181.0
199.0,臺中市北區賴福里太原路二段90號,3,第二分局," 120.67984",24.165077,賴福里,1895.0
200.0,臺中市北區育德里育德路88號,3,第二分局,120.675544,24.157689,育德里,1071.0
201.0,臺中市北區崇德里北興街77號2樓之2,1,第二分局,120.687988,24.163986,崇德里,627.0
202.0,臺中市北區育德里美德街188號,1,第二分局,120.680276,24.158251,育德里,224.0
203.0,臺中市北區賴福里太原路二段86號,1,第二分局,120.678001,24.1651151,賴福里,699.0
204.0,臺中市北區賴村里五常街263號,1,第二分局,120.679897,24.161272,賴村里,683.0
205.0,臺中市北區賴福里中清路一段490號,1,第二分局,120.674306,24.164394,賴福里,768.0
206.0,臺中市北區邱厝里中清路一段167號,1,第二分局,120.676339,24.156849,邱厝里,623.0
207.0,臺中市北區賴福里衛道二街3號,1,第二分局," 120.68089",24.163957,賴福里,140.0
208.0,臺中市北區梅川里文昌東一街109號,2,第二分局,120.676863,24.167646,梅川里,1742.0
209.0,臺中市北區賴厝里東漢街3號,1,第二分局,120.679491,24.166354,賴厝里,495.0
210.0,臺中市北區金龍里益華街115號,1,第二分局,120.68968,24.161304,金龍里,249.0
211.0,臺中市北區金龍里榮華街7號,1,第二分局,120.686535,24.159395,金龍里,413.0
212.0,臺中市北區育德里育德路109之1號,1,第二分局,120.674997,24.157105,育德里,112.0
213.0,臺中市北區建興里健行路198巷16號2樓之1,1,第二分局,120.6860217,24.16001082,建興里,227.0
214.0,臺中市北區賴村里學士路267號,1,第二分局,120.6808234,24.16239246,賴村里,499.0
215.0,臺中市北區金龍里學士路106號,2,第二分局," 120.68135",24.157736,金龍里,11492.0
216.0,臺中市北區育德里美德街275號,1,第二分局,120.6770728,24.15831708,育德里,183.0
217.0,臺中市北區崇德里太原路三段8號,1,第二分局,120.685445,24.164904,崇德里,1705.0
218.0,臺中市北區崇德里太原路三段63號,1,第二分局,120.687551,24.16533,崇德里,557.0
219.0,臺中市北區賴厝里東漢街7號,1,第二分局,120.6794873,24.16626487,賴厝里,1184.0
220.0,臺中市北區邱厝里大德街47號,1,第二分局,120.6788077,24.15723711,邱厝里,1297.0
221.0,臺中市北區建興里崇德路一段256巷2號,1,第二分局," 120.68610",24.161186,建興里,1158.0
222.0,臺中市北區賴厝里漢口路四段168號,1,第二分局," 120.67849",24.166268,賴厝里,991.0
223.0,臺中市北區金龍里金龍街112號,1,第二分局,120.6877528,24.15866946,金龍里,1472.0
224.0,臺中市北區賴村里五常街193號,1,第二分局,120.679847,24.159965,賴村里,383.0
225.0,臺中市北區金龍里益華街79號,1,第二分局,120.6890547,24.16015207,金龍里,332.0
226.0,臺中市北區育德里育德路98號,1,第二分局,120.674768,24.157935,育德里,3131.0
227.0,臺中市北區金龍里三民路三段315巷17號,1,第二分局,120.6882585,24.15754192,金龍里,262.0
228.0,臺中市北區賴厝里山西路一段50號,1,第二分局," 120.67552",24.165946,賴厝里,1957.0
229.0,臺中市北區梅川里文昌東二街146號,1,第二分局,120.6778224,24.16949415,梅川里,263.0
230.0,臺中市北區賴村里學士路181號,1,第二分局,120.6808286,24.15980613,賴村里,418.0
231.0,臺中市北區頂厝里崇德路一段625號,3,第二分局," 120.68491",24.167497,頂厝里,577.0
232.0,臺中市北區金龍里三民路三段315巷33號,1,第二分局,120.6880904,24.15759264,金龍里,510.0
233.0,臺中市北區健行里忠太西路32號,1,第二分局," 120.66768",24.161747,健行里,126.0
234.0,臺中市北區立人里陝西二街9號,1,第二分局," 120.66777",24.171277,立人里,174.0
235.0,臺中市北區立人里陝西二街7號,1,第二分局,120.667800,24.171394,立人里,160.0
236.0,臺中市北區健行里德化街607號,1,第二分局,120.666844,24.161453,健行里,470.0
237.0,臺中市北區淡溝里博館路1號,1,第二分局,120.669337,24.158953,淡溝里,1415.0
238.0,臺中市北區明德里漢口路三段76號,1,第二分局," 120.66829",24.167042,明德里,246.0
239.0,臺中市北區淡溝里博館東街21號,1,第二分局,120.666443,24.15483,淡溝里,306.0
240.0,臺中市北區淡溝里博館一街12號,1,第二分局," 120.66724",24.155001,淡溝里,78.0
241.0,臺中市北區淡溝里博館路87號,3,第二分局,120.666853,24.155204,淡溝里,540.0
242.0,臺中市北區淡溝里博館二街32號,2,第二分局,120.666721,24.154391,淡溝里,567.0
243.0,臺中市北區淡溝里博館路26號,2,第二分局,120.669527,24.157882,淡溝里,1135.0
244.0,臺中市北區淡溝里美德街395號,1,第二分局,120.671165,24.158620,淡溝里,414.0
245.0,臺中市北區淡溝里美德街486號,1、2,第二分局," 120.67149",24.158714,淡溝里,1977.0
246.0,臺中市北區明德里漢口南一街53之1號,1,第二分局,120.667931,24.166380,明德里,94.0
247.0,臺中市北區大湖里公園路128號,1,第二分局,120.678203,24.149242,大湖里,518.0
248.0,臺中市北區大湖里湖北街36號,1,第二分局,120.679136,24.148924,大湖里,471.0
249.0,臺中市北區大湖里文祥街2號,1,第二分局,120.6797,24.148734,大湖里,210.0
250.0,臺中市北區中正里中山路429巷13號,1,第二分局,120.673679,24.145147,中正里,106.0
251.0,臺中市北區中正里原子街11號,1,第二分局,120.67273,24.145112,中正里,166.0
252.0,臺中市北區文莊里文化街12號,1,第二分局,120.676665,24.152322,文莊里,171.0
253.0,臺中市北區文莊里五權路231號,1,第二分局,120.675725,24.150107,文莊里,216.0
254.0,臺中市北區文莊里五權路207之2號,1,第二分局," 120.67509",24.149737,文莊里,58.0
255.0,臺中市北區文莊里文化街46號,1,第二分局,120.675529,24.152294,文莊里,246.0
256.0,臺中市北區文莊里文化街34號,1,第二分局,120.675932,24.152301,文莊里,83.0
257.0,臺中市北區光大里五權路329之2號,1,第二分局," 120.67930",24.152423,光大里,186.0
258.0,臺中市北區光大里五權路325號,1,第二分局,120.679052,24.152208,光大里,190.0
259.0,臺中市北區大湖里湖北街66號,1,第二分局,120.679157,24.151102,大湖里,250.0
260.0,臺中市北區光大里太平路172巷11號,1,第二分局,120.678473,24.15218,光大里,110.0
261.0,臺中市北區文莊里日進街3號,1,第二分局,120.675124,24.151396,文莊里,127.0
262.0,臺中市北區文莊里日進街1號,2,第二分局,120.675161,24.151401,文莊里,645.0
263.0,臺中市北區中達里篤行路288號,1,第二分局,120.673813,24.154401,中達里,83.0
264.0,臺中市北區育德里篤行路384號,1,第二分局,120.673801,24.157783,育德里,94.0
265.0,臺中市北區中達里英才路286號,1,第二分局," 120.67129",24.156113,中達里,302.0
266.0,臺中市北區中達里篤行路358之1巷2號,1,第二分局,120.673786,24.1560497,中達里,136.0
267.0,臺中市北區五常里英才路1號,1,第二分局,120.678332,24.155387,五常里,1239.0
268.0,臺中市北區五常里五義街132號,1,第二分局,120.681611,24.154805,五常里,260.0
269.0,臺中市北區五常里學士路87巷3號,1,第二分局,120.6813479,24.15523827,五常里,324.0
270.0,臺中市北區五常里五義街147號,1,第二分局,120.681281,24.154129,五常里,124.0
271.0,臺中市北區五常里五義街141號,1,第二分局,120.681436,24.154247,五常里,244.0
272.0,臺中市北區六合里篤行路105號,1,第二分局,120.676057,24.148025,六合里,140.0
273.0,臺中市北區六合里原子街117號,1,第二分局,120.675523,24.147814,六合里,96.0
274.0,臺中市北區六合里成功路496號,1,第二分局,120.675488,24.14743,六合里,125.0
275.0,臺中市北區六合里成功路490號,1,第二分局,120.675799,24.147252,六合里,893.0
276.0,臺中市北區中正里臺灣大道一段672號,1,第二分局,120.675055,24.146711,中正里,90.0
277.0,臺中市北區中正里臺灣大道一段682號,1,第二分局,120.675048,24.146782,中正里,90.0
278.0,臺中市北區中正里臺灣大道一段676號,1,第二分局," 120.67505",24.146702,中正里,90.0
279.0,臺中市北區六合里臺灣大道一段632號,1,第二分局,120.675625,24.146087,六合里,216.0
280.0,臺中市北區六合里成功路387號,1,第二分局,120.676383,24.146291,六合里,124.0
281.0,臺中市北區六合里成功路457之1號,1,第二分局," 120.67500",24.147867,六合里,150.0
282.0,臺中市北區六合里成功路453號,1,第二分局,120.675085,24.147459,六合里,116.0
283.0,臺中市北區六合里成功路449號,1,第二分局,120.675151,24.147452,六合里,150.0
284.0,臺中市北區六合里福龍街99號,1,第二分局,120.674561,24.147732,六合里,536.0
285.0,臺中市北區六合里臺灣大道一段700號,1,第二分局,120.674657,24.146993,六合里,343.0
286.0,臺中市北區光大里湖北街124號,1,第二分局,120.677713,24.152778,光大里,1302.0
287.0,臺中市北區六合里成功路385號,1,第二分局,120.676415,24.146265,六合里,124.0
288.0,臺中市北區六合里臺灣大道一段680號,1,第二分局,120.675062,24.146554,六合里,90.0
289.0,臺中市北區六合里成功路401號,1,第二分局,120.676212,24.146402,六合里,118.0
290.0,臺中市北區六合里臺灣大道一段642號,1,第二分局," 120.67542",24.146369,六合里,98.0
