建築物名稱,類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容量人數,備註
大樓,大樓,HNB00026,竹仁里,新竹縣竹北市竹仁里仁義路62號,"24.8364752,121.0154035",1,225.0,
帝王至尊,大樓,HNB00027,竹仁里,新竹縣竹北市竹仁里14鄰中正東路207號,"24.8350388,121.0150262",1,1584.0,
"春記建設 芳鄰家園",大樓,HNB00028,福德里,新竹縣竹北市福德里和平街10號,"24.837501,121.008716",1,1435.0,
早安竹北社區,大樓,HNB00029,竹仁里,新竹縣竹北市竹仁里41鄰文山街10號,"24.8377351,121.0139638",1,789.0,
大樓,大樓,HNB00030,福德里,新竹縣竹北市福德里信義街7號,"24.8361503,121.0096015",1,1517.0,
新竹縣政府公教住宅,大樓,HNB00031,竹仁里,新竹縣竹北市竹仁里文化街146號,"24.8368984,121.0146381",1,1032.0,
曙光計畫,大樓,HNB00032,竹仁里,新竹縣竹北市竹仁里14鄰中正東路195號,"24.8350242,121.0152061",1,2029.0,
"竹仁國小 大樓A",公寓,HNB00033,竹仁里,新竹縣竹北市竹仁里仁和街1號,"24.8370583,121.0123056",1,939.0,
振鎰建設公司,公寓,HNB00035,竹仁里,新竹縣竹北市竹仁里15鄰中正東路136號,"24.8353792,121.0166573",1,941.0,
文化中心,公寓,HNB00036,十興里,新竹縣竹北市十興里縣政九路146號,"24.8301605,121.0120756",1,4754.0,
地方法院,大樓,HNB00037,十興里,新竹縣竹北市十興里縣政二路123號,"24.829563,121.0170576",1,1444.0,
地方法院,公寓,HNB00038,十興里,新竹縣竹北市十興里縣政二路119號,"24.8295212,121.0170411",1,1272.0,
地方法院,公寓,HNB00039,十興里,新竹縣竹北市十興里縣政二路115號,"24.8294794,121.0170244",1,656.0,
"葉雪霞 昌益御璽大樓",大樓,HNB00040,十興里,新竹縣竹北市十興里43鄰民權街56號,"24.832236,121.012023",2,3400.0,
國泰人壽大樓,大樓,HNB00041,十興里,新竹縣竹北市十興里32鄰三民路133號,"24.832904,121.016397",1,816.0,
仁愛庭園大樓,大樓,HNB00042,十興里,新竹縣竹北市十興里三民路163號,"24.832814,121.015421",2,865.0,
超群大樓,大樓,HNB00043,文化里,新竹縣竹北市文化里32鄰三民路167號,"24.8327891,121.0152587",1,175.0,
陳美華,大樓,HNB00044,十興里,新竹縣竹北市十興里32鄰三民路125號,"24.8329399,121.0165808",1,412.0,
大樓,大樓,HNB00045,斗崙里,新竹縣竹北市斗崙里31鄰縣政十四街31號,"24.8286303,121.0044575",1,46.0,
大樓,大樓,HNB00046,斗崙里,新竹縣竹北市斗崙里縣政二路97號,"24.8242969,121.014536",1,328.0,
調查局,公寓,HNB00047,北崙里,新竹縣竹北市北崙里光明五街56號,"24.8277899,121.015031",1,193.0,
縣寶大樓,大樓,HNB00049,北崙里,新竹縣竹北市北崙里光明五街317-319號,"24.8285374,121.010101",1,272.0,
蓮棧二期,大樓,HNB00050,北崙里,新竹縣竹北市北崙里縣政十街68號,"24.8287567,121.0091168",1,346.0,
大樓,大樓,HNB00051,北崙里,新竹縣竹北市北崙里縣政十街70號,"24.8288882,121.009182",1,198.0,
揚昌大樓,大樓,HNB00053,北崙里,新竹縣竹北市北崙里縣政九路149號,"24.8281383,121.0102719",1,272.0,
揚昌建設-光明大樓,大樓,HNB00054,斗崙里,新竹縣竹北市斗崙里縣政三街134號,"24.8244072,121.0138202",1,528.0,
鼎邦建設-情趣雅築社區,大樓,HNB00055,斗崙里,新竹縣竹北市斗崙里縣政三街122號,"24.8242118,121.0139601",1,1632.0,
哈佛幼稚園,公寓,HNB00056,斗崙里,新竹縣竹北市斗崙里16鄰光明二街81巷1號,"24.831343,121.0072714",1,174.0,
小小世界幼稚園,公寓,HNB00057,斗崙里,新竹縣竹北市斗崙里14鄰光明五街354號,"24.8288739,121.00896",1,137.0,
公寓,公寓,HNB00058,斗崙里,新竹縣竹北市斗崙里7鄰縣政十街46號,"24.828411,121.009028",1,440.0,
公寓,公寓,HNB00059,斗崙里,新竹縣竹北市斗崙里縣政九路26號,"24.8251992,121.0087971",1,49.0,
公寓,公寓,HNB00060,斗崙里,新竹縣竹北市斗崙里縣政九路24號,"24.8251142,121.0086859",1,44.0,
公寓,公寓,HNB00061,斗崙里,新竹縣竹北市斗崙里縣政九路22號,"24.8250798,121.0086407",1,44.0,
公寓,公寓,HNB00062,斗崙里,新竹縣竹北市斗崙里縣政九路18號,"24.8249661,121.0086373",1,44.0,
大樓,大樓,HNB00063,斗崙里,新竹縣竹北市斗崙里縣政九路62號,"24.8259772,121.0092653",1,365.0,
大樓,大樓,HNB00064,斗崙里,新竹縣竹北市斗崙里縣政九路135巷32號,"24.8277119,121.0100914",1,565.0,
雪梨新世紀,大樓,HNB00065,斗崙里,新竹縣竹北市斗崙里光明九路150巷1號,"24.8263516,121.0084903",1,1408.0,
大樓,大樓,HNB00066,斗崙里,新竹縣竹北市斗崙里光明九路72號,"24.8251174,121.0099703",1,300.0,
連棧大廈,大樓,HNB00067,斗崙里,新竹縣竹北市斗崙里縣政十街96號,"24.8293881,121.0094746",1,588.0,
宗達商業大樓,大樓,HNB00068,斗崙里,新竹縣竹北市斗崙里縣政三街29號,"24.8239342,121.0132478",1,204.0,
龍門第社區,大樓,HNB00069,斗崙里,新竹縣竹北市斗崙里縣政九路151號,"24.8282119,121.0102709",1,693.0,
大樓,大樓,HNB00070,斗崙里,新竹縣竹北市斗崙里縣政五街32巷12號,"24.8243951,121.0127",1,956.0,
大樓,大樓,HNB00071,斗崙里,新竹縣竹北市斗崙里縣政九街60-62號,"24.8259855,121.0092731",1,258.0,
公寓,公寓,HNB00072,斗崙里,新竹縣竹北市斗崙里福興路839巷15號之17號,"24.8222966,121.0097663",1,2164.0,
博愛國小,公寓,HNB00073,斗崙里,新竹縣竹北市斗崙里光明六路72號,"24.831451,121.0059169",1,1657.0,
高島屋大樓,大樓,HNB00075,斗崙里,新竹縣竹北市斗崙里縣政九路135巷28號,"24.8277119,121.0100914",1,637.0,
大樓,大樓,HNB00076,斗崙里,新竹縣竹北市斗崙里光明二街81巷37號,"24.8317284,121.0066452",1,732.0,
縣府名宮,大樓,HNB00077,斗崙里,新竹縣竹北市斗崙里縣政二路45之49號,"24.8232931,121.0140189",1,805.0,
縣府名宮,大樓,HNB00078,斗崙里,新竹縣竹北市斗崙里12鄰光明三路174號,"24.8314815,121.006474",1,573.0,
家樂福,大樓,HNB00079,斗崙里,新竹縣竹北市斗崙里12鄰光明六路89號,"24.8264277,121.0090337",1,7036.0,
縣前站前華廈社區,大樓,HNB00080,斗崙里,新竹縣竹北市斗崙里13鄰光明五街355號,"24.8285831,121.0092068",1,445.0,
新竹縣政府,公寓,HNB00081,北崙里,新竹縣竹北市北崙里光明六路10號,"24.8268784,121.0129242",1,5078.0,
"昌益建設 昌益御臨",大樓,HNB00082,十興里,新竹縣竹北市十興里41鄰民權街63號,"24.8322803,121.012206",1,3514.0,
大樓,大樓,HNB00083,斗崙里,新竹縣竹北市斗崙里13鄰縣政九路159號,"24.828412,121.010408",1,453.0,
翊煒建設公司（公園首璽）,大樓,HNB00085,斗崙里,新竹縣竹北市斗崙里5鄰縣政五街46號,"24.8249091,121.0128976",1,1674.0,
"仟祥建設 陶然屋二期",大樓,HNB00086,斗崙里,新竹縣竹北市斗崙里縣政十街72號,"24.8289904,121.0092442",1,420.0,
"富泰營造 富泰大樓",大樓,HNB00087,斗崙里,新竹縣竹北市斗崙里4鄰縣政六路58號,"24.8240601,121.0114481",1,825.0,
烱軒大樓,大樓,HNB00088,斗崙里,新竹縣竹北市斗崙里光明六路85號,"24.8265451,121.0103422",1,734.0,
"昌益建設 美術館",大樓,HNB00089,斗崙里,"新竹縣竹北市斗崙里縣政七街23 37號","24.8258389,121.0111963",1,3870.0,
翊煒建設有限公司,大樓,HNB00090,斗崙里,新竹縣竹北市斗崙里光明六路213號,"24.8281947,121.0072049",1,843.0,
金南昌建設有限公司,大樓,HNB00091,斗崙里,新竹縣竹北市斗崙里縣政九路145號,"24.8277813,121.0100615",1,1001.0,
新竹縣衛生局,公寓,HNB00092,斗崙里,新竹縣竹北市斗崙里光明二街89號,"24.8321233,121.006653",1,1121.0,
公寓,公寓,HNB00093,斗崙里,新竹縣竹北市斗崙里縣政六路18號,"24.8232177,121.0109224",1,473.0,
大樓,大樓,HNB00094,十興里,新竹縣竹北市十興里文和街35號,"24.8297599,121.0149271",1,816.0,
"豐邑建設 領事館",大樓,HNB00095,北崙里,新竹縣竹北市北崙里光明五街338號,"24.828997,121.009673",2,1264.0,
鋒樺建設,大樓,HNB00096,北崙里,新竹縣竹北市北崙里光明二街81巷59號,"24.8319562,121.0062206",1,112.0,
"椰林建設 深耕ㄧ期",大樓,HNB00097,十興里,新竹縣竹北市十興里文義街183號,"24.8310385,121.0151573",2,913.0,
"富源上景 ",大樓,HNB00098,十興里,新竹縣竹北市十興里文壽街3號,"24.8318047,121.0113317",2,992.0,
大樓,大樓,HNB00099,斗崙里,新竹縣竹北市斗崙里光明九路57號,"24.8239841,121.011777",1,166.0,
國稅局北區新竹分局,大樓,HNB00100,北崙里,新竹縣竹北市北崙里縣政九路120號,"24.8275326,121.0104681",1,2689.0,
公寓,公寓,HNB00101,斗崙里,新竹縣竹北市斗崙里光明九路12號,"24.823383,121.0138273",1,406.0,
昌益清水硯,大樓,HNB00102,十興里,新竹縣竹北市十興里嘉仁街126號,"24.8273326,121.018093",3,4694.0,
新竹縣消防局,公寓,HNB00103,斗崙里,新竹縣竹北市斗崙里福興路757號,"24.8219665,121.0114338",1,981.0,
"中耀建設 溪霞隱社區",大樓,HNB00104,十興里,新竹縣竹北市十興里光明一路3號,"24.82892,121.0195027",2,3023.0,
"鑫輝建設公司 雲鼎",大樓,HNB00105,十興里,新竹縣竹北市十興里文義街140-150號,"24.8309729,121.0173175",1,1542.0,
富源建設-（富源上景第2期）,大樓,HNB00106,十興里,新竹縣竹北市十興里文仁街85號,"24.8323698,121.018097",1,1485.0,
坤山建設（縣府之星）,大樓,HNB00107,斗崙里,新竹縣竹北市斗崙里光明九路88號,"24.8255081,121.009394",3,2785.0,
尊琦建設（心鑽no.1）,大樓,HNB00108,斗崙里,新竹縣竹北市斗崙里縣政九路56號,"24.8258227,121.0091735",1,323.0,
"深耕二期 ",大樓,HNB00109,十興里,新竹縣竹北市十興里文喜路30號,"24.8321026,121.0109563",2,1038.0,
"興築建設 爵士樂",大樓,HNB00110,斗崙里,新竹縣竹北市斗崙里光明九路89號,"24.8247645,121.0099144",3,16953.0,
富源藝術家,大樓,HNB00111,十興里,新竹縣竹北市十興里文采街70號,"24.8328783,121.0178844",2,2287.0,
昌益博爵,大樓,HNB00112,斗崙里,新竹縣竹北市斗崙里光明八街140號,"24.8281254,121.0028977",2,7936.0,
元鈞建設（奧之細道社區）,大樓,HNB00113,十興里,新竹縣竹北市十興里縣政二路233號,"24.8331194,121.0187911",2,1819.0,
"尊琦建設 心鑽no.5",大樓,HNB00114,北崙里,新竹縣竹北市北崙里1鄰縣政9路163號,"24.8287371,121.0104621",1,445.0,
鑫輝建設,大樓,HNB00115,十興里,新竹縣竹北市十興里34鄰光明一路77號,"24.8295598,121.0181989",2,2433.0,
順嘉建設（精工禪）,大樓,HNB00116,十興里,新竹縣竹北市十興里35鄰嘉勤北路75號,"24.8279945,121.019049",2,2553.0,
椰林建設,大樓,HNB00117,十興里,新竹縣竹北市十興里33鄰文采街2號,"24.8304309,121.0169866",2,1660.0,
元鈞建設,大樓,HNB00118,十興里,新竹縣竹北市十興里29鄰縣政二路530號,"24.8313652,121.0184746",2,5800.0,
大任建設,大樓,HNB00119,斗崙里,新竹縣竹北市斗崙里16鄰光明9路68號,"24.8250661,121.0101232",1,445.0,
椰林建設（首選no.2）,大樓,HNB00120,北崙里,新竹縣竹北市北崙里13鄰光明二街84巷32號,"24.8324611,121.007504",2,1243.0,
大地至尊建設-竹北曼哈頓,大樓,HNB00121,斗崙里,新竹縣竹北市斗崙里27鄰縣政10街6號,"24.8267001,121.0078817",2,1922.0,
綠景建設,大樓,HNB00122,十興里,新竹縣竹北市十興里33鄰文義街136號,"24.8309568,121.0173704",1,1233.0,
美麗華建設,大樓,HNB00123,十興里,新竹縣竹北市十興里40鄰文平路130號,"24.8292263,121.01405",1,854.0,
椰林建設,大樓,HNB00124,十興里,新竹縣竹北市十興里文仁街81號,"24.8323435,121.018222",2,1352.0,
三久開發建設,大樓,HNB00125,十興里,新竹縣竹北市十興里29鄰縣政2路550號,"24.8318803,121.0186808",1,814.0,
新竹縣婦幼館,公寓,HNB00126,竹北里,新竹縣竹北市竹北里縣政2街620號,"24.8336325,121.0195219",1,4305.0,
巨寶建設（封爵社區no.2）,大樓,HNB00127,十興里,新竹縣竹北市十興里縣政2路、文仁街88號,"24.8321811,121.0192259",2,4506.0,
"曲成建設 ",大樓,HNB00128,斗崙里,新竹縣竹北市斗崙里嘉勤南街146號,"24.8194413,121.0139993",1,841.0,
"豐邑建設 ",大樓,HNB00129,斗崙里,新竹縣竹北市斗崙里縣政八街68巷1號,"24.8259327,121.0106005",1,7103.0,
基督教靈糧會館,公寓,HNB00130,斗崙里,新竹縣竹北市斗崙里嘉勤南路86號,"24.8216805,121.015098",1,877.0,
"竹記建設 ",大樓,HNB00131,斗崙里,新竹縣竹北市斗崙里光明六路87-1號,"24.8265965,121.0101085",2,712.0,
德鑫建設,大樓,HNB00132,十興里,新竹縣竹北市十興里嘉勤北路2號,"24.8260141,121.0175198",2,4059.0,
旭嘉聯合科技公司,大樓,HNB00134,斗崙里,新竹縣竹北市斗崙里縣政二路55號,"24.8234676,121.0141124",3,862.0,
新麗華建設公司（學府道）,大樓,HNB00135,斗崙里,新竹縣竹北市斗崙里縣政十三路19號,"24.8271747,121.0055642",2,2755.0,
大樓,大樓,HNB00136,十興里,新竹縣竹北市十興里33鄰光明一路128號,"24.8303093,121.0170801",1,446.0,
"竹記建設 ",大樓,HNB00137,北崙里,新竹縣竹北市北崙里博愛街168-2號,"24.8322878,121.0056056",1,457.0,
椰寶建設,大樓,HNB00138,北崙里,新竹縣竹北市北崙里9鄰縣政十街47號,"24.8282496,121.0086462",2,1045.0,
新竹縣政府消防局,大樓,HNB00139,北崙里,新竹縣竹北市北崙里1鄰光明五街295號,"24.828101,121.0111419",2,981.0,
春竹租賃有限公司,大樓,HNB00140,斗崙里,新竹縣竹北市斗崙里15鄰縣政七街39號,"24.8261517,121.0114441",3,830.0,
嘉志營造公司,大樓,HNB00141,斗崙里,新竹縣竹北市斗崙里2鄰科大二街168、166號,"24.8215335,121.0068928",1,734.0,
興築建設,大樓,HNB00142,斗崙里,新竹縣竹北市斗崙里35鄰福興一路50號,"24.8256556,121.0042025",1,436.0,
昌禾開發,大樓,HNB00143,斗崙里,新竹縣竹北市斗崙里2鄰科大一路158號,"24.8207212,121.0103509",2,4960.0,
椰寶建設,大樓,HNB00144,斗崙里,新竹縣竹北市斗崙里22鄰科大一路122號,"24.8212788,121.0092881",2,4838.0,
大任建設,大樓,HNB00145,十興里,新竹縣竹北市十興里29鄰文義街30號,"24.8299945,121.0194587",2,1116.0,
椰寶建設,大樓,HNB00146,斗崙里,新竹縣竹北市斗崙里22鄰科大二街45號,"24.821481,121.0077513",2,3287.0,
椰寶建設,大樓,HNB00147,斗崙里,新竹縣竹北市斗崙里22鄰科大一路22號,"24.822251,121.0076505",2,2232.0,
金連城建設,大樓,HNB00148,斗崙里,新竹縣竹北市斗崙里22鄰科大二街93號,"24.8205563,121.0090248",2,1373.0,
椰林建設,大樓,HNB00149,斗崙里,新竹縣竹北市斗崙里22鄰科大一路68號,"24.8217168,121.0085534",2,4539.0,
太睿建設,大樓,HNB00150,斗崙里,新竹縣竹北市斗崙里斗崙里22鄰台科路110號,"24.8207451,121.0094078",2,2429.0,
昌禾建設,大樓,HNB00151,斗崙里,新竹縣竹北市斗崙里3鄰台科路58號,"24.8216849,121.0101177",2,4749.0,
盛禾建設,大樓,HNB00152,斗崙里,新竹縣竹北市斗崙里35鄰嘉勤南路98號,"24.8208032,121.0148191",1,584.0,
仟祥建設,大樓,HNB00153,北崙里,新竹縣竹北市北崙里光明五路346號,"24.828679,121.009427",1,319.0,
川源建設,大樓,HNB00154,十興里,新竹縣竹北市十興里29鄰文孝街50號,"24.8325854,121.0197383",1,812.0,
僑馥建築經理,大樓,HNB00155,斗崙里,新竹縣竹北市斗崙里2鄰科大二街137號,"24.8201313,121.0101936",2,3711.0,
金連城建設,大樓,HNB00156,斗崙里,新竹縣竹北市斗崙里19鄰科大一路45號,"24.8219082,121.0086901",2,1164.0,
興築建設,大樓,HNB00157,斗崙里,新竹縣竹北市斗崙里2鄰科大一路160號,"24.8207175,121.0104067",3,6584.0,
興築建設,大樓,HNB00159,斗崙里,新竹縣竹北市斗崙里35鄰福興路1095-1號,"24.8269515,121.0028402",4,5332.0,
臺億建築經理,大樓,HNB00160,斗崙里,新竹縣竹北市斗崙里2鄰興隆路一段533號,"24.819206,121.0102596",2,5000.0,
昌傑建設,大樓,HNB00161,十興里,新竹縣竹北市十興里40鄰文信路219號,"24.8316391,121.0148098",2,824.0,
冠軍開發建設,大樓,HNB00162,斗崙里,新竹縣竹北市斗崙里4鄰縣政二路20號,"24.8226428,121.0140753",1,740.0,
偉詮建設,大樓,HNB00163,十興里,新竹縣竹北市十興里29鄰縣政二路488號,"24.830155,121.017878",2,763.0,
瑞騰建設,大樓,HNB00164,斗崙里,新竹縣竹北市斗崙里2鄰興隆路一段521號,"24.8196201,121.0094032",2,11958.0,
僑馥建設,大樓,HNB00165,斗崙里,新竹縣竹北市斗崙里2鄰縣政二路南段112號,"24.8187197,121.0114",2,2898.0,
昌禾開發建設,大樓,HNB00166,興安里,新竹縣竹北市興安里15鄰文愛街59號,"24.8314909,121.0189172",3,1924.0,
坤山建設,大樓,HNB00167,斗崙里,新竹縣竹北市斗崙里21鄰興隆路一段435號,"24.8194999,121.0087673",2,4823.0,
捷帝建設,大樓,HNB00168,斗崙里,新竹縣竹北市斗崙里7鄰光明九路15號,"24.8245517,121.0105536",2,995.0,
坤山建設,大樓,HNB00169,斗崙里,新竹縣竹北市斗崙里3鄰科大一路117號,"24.8209662,121.0105703",3,2700.0,
竹益建設,大樓,HNB00170,斗崙里,新竹縣竹北市斗崙里2鄰科大二路33號,"24.823412,121.0077058",2,1867.0,
浩瀚建設,大樓,HNB00171,斗崙里,新竹縣竹北市斗崙里35鄰福興路1025號,"24.826449,121.0040256",1,5662.0,
新大開發,大樓,HNB00172,斗崙里,新竹縣竹北市斗崙里4鄰光明九路1號,"24.8222325,121.0152233",1,528.0,
國軒建設,大樓,HNB00173,斗崙里,新竹縣竹北市斗崙里1鄰科大二街257號,"24.8188424,121.0125723",2,2444.0,
僑馥建設,大樓,HNB00174,北崙里,新竹縣竹北市北崙里11鄰光明二街81巷63號,"24.8319801,121.0061249",2,1237.0,
福村建設,大樓,HNB00175,北崙里,新竹縣竹北市北崙里3鄰光明五街210號,"24.8283505,121.0113869",2,2823.0,
臺億建設,大樓,HNB00176,斗崙里,新竹縣竹北市斗崙里2鄰興隆路一段563號,"24.8188536,121.0107077",2,3791.0,
巨寶建設,大樓,HNB00177,斗崙里,新竹縣竹北市斗崙里35鄰福興一路90號,"24.8259114,121.0034328",1,4986.0,
台灣新竹農田水利會,公寓,HNB00178,竹仁里,新竹縣竹北市竹仁里39鄰仁和街7號,"24.8370109,121.0122349",1,655.0,
鴻柏建設股份有限公司,大樓,HNB00179,斗崙里,新竹縣竹北市斗崙里2鄰台科路121號,"24.81994,121.009293",1,2457.0,
富宇地產,大樓,HNB00180,竹仁里,新竹縣竹北市竹仁里11鄰三民路156-1號,"24.8330733,121.0147788",3,3912.0,
大樓,大樓,HNB00181,興安里,新竹縣竹北市興安里20鄰文孝街30號,"24.832454,121.02007",1,800.0,
鼎毅建設,大樓,HNB00182,斗崙里,新竹縣竹北市斗崙里2鄰科大二街167號,"24.819645,121.0110624",2,1203.0,
富廣開發,大樓,HNB00183,斗崙里,新竹縣竹北市斗崙里21鄰興隆路一段425號,"24.8206053,121.0075992",3,824.0,
新竹縣竹北市公所,公寓,HNB00184,福德里,新竹縣竹北市福德里9鄰福德街30號,"24.8355787,121.0090429",1,1799.0,
晴園建設有限公司,大樓,HNB00186,興安里,新竹縣竹北市興安里2鄰嘉仁街39號,"24.8259972,121.0170509",1,836.0,
基督教會新竹靈糧堂,公寓,HNB00187,斗崙里,新竹縣竹北市斗崙里5鄰嘉德街25號,"24.8218221,121.0146758",2,306.0,
臺億建築經理股份有限公司,大樓,HNB00188,斗崙里,新竹縣竹北市斗崙里32鄰縣政二路南段70號,"24.8193614,121.0116709",3,2286.0,
臺灣科技大學,公寓,HNB00189,斗崙里,新竹縣竹北市斗崙里22鄰福興路951號,"24.8251471,121.0066101",1,160.0,
英城營造股份有限公司,公寓,HNB00190,中崙里,新竹縣竹北市中崙里8鄰興隆路一段307號,"24.824393342335465, 121.00403894697463",1,5768.0,
京城國際建築經理股份有限公司,大樓,HNB00191,福德里,新竹縣竹北市福德里5鄰民生街8號,"24.834407,121.0116196",3,914.0,
"財團法人中國醫藥大學 醫療棟",大樓,HNB00192,中崙里,新竹縣竹北市中崙里8鄰興隆路一段199號,"24.82442929969638, 121.00134887435601",2,7498.0,
臺億建築經理股份有限公司,大樓,HNB00193,斗崙里,新竹縣竹北市斗崙里39鄰興隆路一段631號,"24.8178175,121.0118821",3,5064.0,
"財團法人中國醫藥大學法代人 停車棟",大樓,HNB00194,中崙里,新竹縣竹北市中崙里8鄰興隆路一段199號,"24.825158058358646, 121.00135974390521",2,24082.0,
德鑫建設,大樓,HNB00195,中崙里,新竹縣竹北市中崙里33鄰興隆路一段467號,"24.822640560626006, 121.01027272362491",3,4151.0,
關東帝國,大樓,HNB00196,中興里,新竹縣竹北市中興里12鄰嘉興路275號,"24.8186968,121.0292168",1,1442.0,
嘉興大樓,大樓,HNB00197,中興里,新竹縣竹北市中興里13鄰嘉興路268弄2之1-2號,"24.8134937,121.0242587",1,1134.0,
大樓,大樓,HNB00198,十興里,新竹縣竹北市十興里嘉興路384巷2號,"24.8220791,121.0327395",1,193.0,
六家高鐵,大樓,HNB00199,十興里,新竹縣竹北市十興里6鄰嘉興路349巷1之23號,"24.8200197,121.0303077",1,1753.0,
大樓,大樓,HNB00200,十興里,新竹縣竹北市十興里嘉興路384巷28號,"24.8219186,121.0329128",1,1363.0,
六家高鐵松區,大樓,HNB00201,十興里,新竹縣竹北市十興里嘉興路384巷3號,"24.8221278,121.0328094",1,1362.0,
"竹北市公所 十興幼稚園",公寓,HNB00202,十興里,新竹縣竹北市十興里4鄰嘉興路445巷46號,"24.8217717,121.0311332",1,100.0,
挪威森林,大樓,HNB00203,十興里,新竹縣竹北市十興里自強北路168號,"24.8225223,121.0308246",2,7407.0,
築科,大樓,HNB00204,十興里,新竹縣竹北市十興里光明六路東一段251號,"24.8206713,121.0267707",2,2852.0,
六家國小,公寓,HNB00205,鹿場里,新竹縣竹北市鹿場里7鄰嘉興路62號,"24.8140988,121.0249489",1,952.0,
聯發紡織,公寓,HNB00206,十興里,新竹縣竹北市十興里24鄰十興路291號,"24.8241485,121.0240841",1,2473.0,
六家國小,公寓,HNB00207,鹿場里,新竹縣竹北市鹿場里嘉興路62號,"24.8140988,121.0249489",1,272.0,
"金敏科技公司 中國砂輪",公寓,HNB00208,十興里,新竹縣竹北市十興里24鄰十興路260號,"24.8313259,121.0257915",1,1740.0,
鼎藏光明,大樓,HNB00209,十興里,新竹縣竹北市十興里勝利一路128號,"24.8213464,121.026885",2,3616.0,
"昌益建設 閱讀台大",大樓,HNB00210,十興里,新竹縣竹北市十興里勝利七街一段178號,"24.8260425,121.0254614",2,6477.0,
昌益音樂廳,大樓,HNB00211,中興里,新竹縣竹北市中興里嘉豐一街131號,"24.8146501,121.0273813",1,4876.0,
"昌益建設 昌益藏峰",大樓,HNB00212,十興里,新竹縣竹北市十興里勝利六街28號,"24.8251733,121.0253806",1,4624.0,
十方雲集,大樓,HNB00213,十興里,新竹縣竹北市十興里莊敬三路125號,"24.8251499,121.0261784",2,3259.0,
"昌益建設 森觀大樓",大樓,HNB00214,鹿場里,新竹縣竹北市鹿場里福興東路一段150號,"24.8192181,121.019365",2,1497.0,
"李力建設 運動家社區",大樓,HNB00215,鹿場里,新竹縣竹北市鹿場里自強七街20號,"24.819424,121.0263569",2,3861.0,
