電腦編號,地址,轄管分局,建築物名稱,縣(市),鄉鎮市區,避難樓層,"防空避難設備面積 (平方公尺)",是否兼作停車空間,"容量 （自動計算）","建檔日期 （西元年/月/日）","最後修正日期 （西元年/月/日）",不設標誌牌,placemark_address
KMA00682,南投市平和里南陽路142號,南投分局,公園大廈,南投縣,南投市,1.0,825.2,v,573.0,2018.1.3,12/31/2022,,南投市平和里南陽路142號
KMA00683,南投市仁和里民生街33之3號,南投分局,仁和里活動中心,南投縣,南投市,1.0,199.16,v,138.0,2018.1.3,12/31/2022,,南投市仁和里民生街33之3號
KMA00684,南投市平和里南陽路150巷1號,南投分局,集合住宅,南投縣,南投市,1.0,342.42,v,237.0,2018.1.3,12/31/2022,,南投市平和里南陽路150巷1號
KMA00685,南投市康壽里復興路350號,南投分局,行政院水土保護局,南投縣,南投市,1.0,1460.8,v,1014.0,2018.1.3,12/31/2022,,南投市康壽里復興路350號
KMA00686,南投市嘉和里樂利路197巷2號,南投分局,集合住宅,南投縣,南投市,1.0,997.26,v,692.0,2018.1.3,12/31/2022,,南投市嘉和里樂利路197巷2號
KMA00687,南投市三和里中興路671號,南投分局,台灣電力公司,南投縣,南投市,1.0,1312.9,v,911.0,2018.1.3,12/31/2022,,南投市三和里中興路671號
KMA00688,南投市康壽里玉井街48號,南投分局,偉達補習班,南投縣,南投市,1.0,130.95,v,90.0,2018.1.3,12/31/2022,,南投市康壽里玉井街48號
KMA00700,南投市三和里中興路667號,南投分局,財政部國稅局南投分局,南投縣,南投市,1.0,1257.3,v,873.0,2000.1.3,12/31/2022,,南投市三和里中興路667號
KMA00705,南投市三興里南崗二路133號,南投分局,南投縣政府警察局,南投縣,南投市,1.0,7990.5,v,5549.0,2000.1.3,12/31/2022,,南投市三興里南崗二路133號
KMA00706,南投市三民里彰南路二段109號,南投分局,南投縣政府警察局南投分局,南投縣,南投市,1.0,1376.64,v,956.0,2000.1.3,12/31/2022,,南投市三民里彰南路二段109號
KMA00689,南投縣南投市鳳鳴里八卦路894號,南投分局,西嶺國小,南投縣,南投市,1.0,694.92,v,482.0,2018.1.3,12/31/2022,,南投縣南投市鳳鳴里八卦路894號
KMA00693,南投縣南投市鳳鳴里八卦路896號,南投分局,鳳鳴國中,南投縣,南投市,1.0,705.63,v,490.0,2019.1.3,12/31/2022,,南投縣南投市鳳鳴里八卦路896號
KMA00690,南投縣南投市鳳鳴里八卦路349號,南投分局,文山國小,南投縣,南投市,1.0,1121.75,v,778.0,2018.1.3,12/31/2022,,南投縣南投市鳳鳴里八卦路349號
KMA00643,名間鄉南雅村南雅街65號,南投分局,名間郵局,南投縣,名間鄉,1.0,739.74,v,513.0,1999.6.15,12/31/2022,不設,名間鄉南雅村南雅街65號
KMA00570,名間鄉濁水村員集路89號,南投分局,陳李素琼,南投縣,名間鄉,1.0,158.21,v,109.0,1997.6.20,12/31/2022,,名間鄉濁水村員集路89號
KMA00347,名間鄉中正村彰南路26號,南投分局,名間農會,南投縣,名間鄉,1.0,12.5,v,8.0,1997.6.20,12/31/2022,不設,名間鄉中正村彰南路26號
KMA00519,名間鄉中正村彰南路董門巷21-43號,南投分局,楊中龍民宅,南投縣,名間鄉,1.0,655.06,v,454.0,1997.6.20,12/31/2022,,名間鄉中正村彰南路董門巷21-43號
KMA00346,名間鄉中正村彰南路40號,南投分局,名間鄉公所,南投縣,名間鄉,1.0,211.0,v,146.0,1997.6.20,12/31/2022,,名間鄉中正村彰南路40號
KMA00654,南投市新興里彰南路三段329巷1號,南投分局,欣美食業公司,南投縣,南投市,1.0,100.0,v,69.0,2018.1.3,12/31/2022,,南投市新興里彰南路三段329巷1號
KMA00107,南投市平山里南崗三路28號,南投分局,南崗家具,南投縣,南投市,1.0,84.0,v,58.0,1997.6.20,12/31/2022,,南投市平山里南崗三路28號
KMA00174,南投市平山里仁和路28號,南投分局,員鑫有限公司,南投縣,南投市,1.0,24.0,v,16.0,1997.6.20,12/31/2022,,南投市平山里仁和路28號
KMA00626,南投市平山里南崗三路18號,南投分局,原廣公司,南投縣,南投市,1.0,148.5,v,103.0,1997.6.20,12/31/2022,,南投市平山里南崗三路18號
KMA00100,南投市平山里南崗三路19號,南投分局,南興水泥製品廠,南投縣,南投市,1.0,32.0,v,22.0,1997.6.20,12/31/2022,,南投市平山里南崗三路19號
KMA00362,南投市平山里南崗三路13號,南投分局,佳保工業公司,南投縣,南投市,1.0,675.0,v,468.0,1997.6.20,12/31/2022,,南投市平山里南崗三路13號
KMA00550,南投市新興里仁和路143-1號,南投分局,合默麟開發公司,南投縣,南投市,1.0,1200.0,v,833.0,1997.6.20,12/31/2022,,南投市新興里仁和路143-1號
KMA00141,南投市平山里仁和路25號,南投分局,全興化工公司,南投縣,南投市,1.0,60.0,v,41.0,1997.6.20,12/31/2022,
KMA00385,南投市平山里自強三路16號,南投分局,中永實業公司,南投縣,南投市,1.0,353.4,v,245.0,1997.6.20,12/31/2022,,南投市平山里自強三路16號
KMA00671,南投市平山里自強三路22號,南投分局,泰谷光電,南投縣,南投市,1.0,1622.6,v,1126.0,2018.1.3,12/31/2022,,南投市平山里自強三路22號
KMA00667,南投市永豐里自強三路18號,南投分局,泰谷光電,南投縣,南投市,1.0,1209.17,v,839.0,2018.1.3,12/31/2022,,南投市永豐里自強三路18號
KMA00659,南投市平山里仁和路5號,南投分局,彩楊塑膠工業公司,南投縣,南投市,1.0,1586.0,v,1101.0,2018.1.3,12/31/2022,
KMA00247,南投市平山里仁和路19號,南投分局,臺臂工業,南投縣,南投市,1.0,112.5,v,78.0,1997.6.20,12/31/2022,
KMA00524,南投市平山里仁和路135號,南投分局,賢泰實業公司,南投縣,南投市,1.0,3032.83,v,2106.0,1997.6.20,12/31/2022,,南投市平山里仁和路135號
KMA00480,南投市平山里工業路5號,南投分局,樺林公司,南投縣,南投市,1.0,1440.0,v,1000.0,1997.6.20,12/31/2022,,南投市平山里工業路5號
KMA00282,南投市南崗三路29號,南投分局,吉安車業,南投縣,南投市,1.0,972.0,v,675.0,1987.7.14,12/31/2022,,南投市南崗三路29號
KMA00055,南投市南崗三路21號,南投分局,經濟部工業局南崗工業區,南投縣,南投市,1.0,548.68,v,381.0,1985.9.2,12/31/2022,,南投市南崗三路21號
KMA00108,南投市平山里南崗三路23號,南投分局,輝達公司,南投縣,南投市,1.0,325.0,v,225.0,1997.6.20,12/31/2022,,南投市平山里南崗三路23號
KMA00520,南投市永豐里工業北五路12號,南投分局,三力達有限公司,南投縣,南投市,1.0,162.21,v,112.0,1997.6.20,12/31/2022,,南投市永豐里工業北五路12號
KMA00650,南投市永豐里成功三路154號,南投分局,大漢窗簾,南投縣,南投市,1.0,148.5,v,103.0,1998.8.17,12/31/2022,,南投市永豐里成功三路154號
KMA00652,南投市成功三路150號,南投分局,火鶴工業,南投縣,南投市,1.0,1586.0,v,1101.0,2018.1.3,12/31/2022,,南投市成功三路150號
KMA00669,南投市永豐里自立一路3巷43號,南投分局,和昌大廈,南投縣,南投市,1.0,189.91,v,131.0,2018.1.3,12/31/2022,,南投市永豐里自立一路3巷43號
KMA00215,南投市永豐里成功三路134號,南投分局,光大鋼鐵工業,南投縣,南投市,1.0,97.5,v,67.0,1997.6.20,12/31/2022,,南投市永豐里成功三路134號
KMA00655,南投市永豐里工業路61號,南投分局,有侑實業公司,南投縣,南投市,1.0,1290.12,v,895.0,2018.1.3,12/31/2022,,南投市永豐里工業路61號
KMA00560,南投市永豐里工業北路26號,南投分局,系統電子,南投縣,南投市,1.0,2491.22,v,1730.0,1997.6.20,12/31/2022,,南投市永豐里工業北路26號
KMA00409,南投市永豐里工業北一路5號,南投分局,亞麥開發,南投縣,南投市,1.0,810.0,v,562.0,1997.6.20,12/31/2022,,南投市永豐里工業北一路5號
KMA00448,南投市永豐里工業北三路9號,南投分局,固品塑膠工業,南投縣,南投市,1.0,32.0,v,22.0,1997.6.20,12/31/2022,,南投市永豐里工業北三路9號
KMA00417,南投市永豐里南崗三路61號,南投分局,松和工業谷份,南投縣,南投市,1.0,1049.19,v,728.0,1997.6.20,12/31/2022,,南投市永豐里南崗三路61號
KMA00438,南投市永豐里工業東路11號,南投分局,松贊油封,南投縣,南投市,1.0,1693.0,v,1175.0,1997.6.20,12/31/2022,,南投市永豐里工業東路11號
KMA00090,南投市南崗三路11號,南投分局,俊侑股份公司,南投縣,南投市,1.0,190.0,v,131.0,1997.6.20,12/31/2022,,南投市南崗三路11號
KMA00668,南投市永豐里成功三路186-1號,南投分局,柏諦企業,南投縣,南投市,1.0,1265.0,v,878.0,2018.1.3,12/31/2022,,南投市永豐里成功三路186-1號
KMA00642,南投市永豐里工業北路57號,南投分局,唐州工業,南投縣,南投市,1.0,1202.86,v,835.0,1998.8.17,12/31/2022,,南投市永豐里工業北路57號
KMA00549,南投市成功三路190號,南投分局,家盟電機,南投縣,南投市,1.0,2286.37,v,1587.0,1997.6.20,12/31/2022,,南投市成功三路190號
KMA00533,南投市永豐里工業北路4號,南投分局,啟台企業,南投縣,南投市,1.0,1752.39,v,1216.0,1997.6.20,12/31/2022,,南投市永豐里工業北路4號
KMA00446,南投市工業東路25號,南投分局,逢陽精密股份有限公司,南投縣,南投市,1.0,1452.13,v,1008.0,1997.6.20,12/31/2022,,南投市工業東路25號
KMA00441,南投市永豐里工業路37號,南投分局,華博企業,南投縣,南投市,1.0,128.75,v,89.0,1997.6.20,12/31/2022,,南投市永豐里工業路37號
KMA00658,南投市永豐里工業東路6號,南投分局,崧贊油封工業,南投縣,南投市,1.0,245.18,v,170.0,2018.1.3,12/31/2022,,南投市永豐里工業東路6號
KMA00145,南投市永豐里中華路305號,南投分局,新能電器股份公司,南投縣,南投市,1.0,100.0,v,69.0,1997.6.20,12/31/2022,,南投市永豐里中華路305號
KMA00450,南投市永豐里成功三路176號,南投分局,臺勵福股份有限公司,南投縣,南投市,1.0,3937.2,v,2734.0,1997.6.20,12/31/2022,,南投市永豐里成功三路176號
KMA00518,南投市永豐里成功三路198號,南投分局,樺昌工業,南投縣,南投市,1.0,3082.28,v,2140.0,1997.6.20,12/31/2022,,南投市永豐里成功三路198號
KMA00657,南投市永豐里工業路330號,南投分局,環隆電氣,南投縣,南投市,1.0,7826.5,v,5435.0,2018.1.3,12/31/2022,,南投市永豐里工業路330號
KMA00101,南投市永豐里南崗三路256號,南投分局,鎂上鎂科技有限公司,南投縣,南投市,1.0,118.0,v,81.0,1997.6.20,12/31/2022,,南投市永豐里南崗三路256號
KMA00388,南投市永豐里南崗三路272號,南投分局,元宙化學公司,南投縣,南投市,1.0,892.0,v,619.0,1997.6.20,12/31/2022,,南投市永豐里南崗三路272號
KMA00400,南投市永豐里中華路326號,南投分局,鉅欣公司,南投縣,南投市,1.0,1177.62,v,817.0,1997.6.20,12/31/2022,,南投市永豐里中華路326號
KMA00178,南投市自立一路8號,南投分局,臺鍛公司,南投縣,南投市,1.0,329.0,v,228.0,1997.6.20,12/31/2022,,南投市自立一路8號
KMA00302,南投市南崗三路278號,南投分局,台灣赫克利化學,南投縣,南投市,1.0,75.0,v,52.0,1997.6.20,12/31/2022,,南投市南崗三路278號
KMA00152,南投市彰南路三段840號,南投分局,南崗汙水處理廠,南投縣,南投市,1.0,75.0,v,52.0,1997.6.20,12/31/2022,,南投市彰南路三段840號
KMA00662,南投市永豐里彰南路三段847號,南投分局,僑建國小,南投縣,南投市,1.0,873.88,v,606.0,2018.1.3,12/31/2022,,南投市永豐里彰南路三段847號
KMA00197,南投市永豐里永興路19號,南投分局,久允工業公司,南投縣,南投市,1.0,583.0,v,404.0,1997.6.20,12/31/2022,,南投市永豐里永興路19號
KMA00672,南投市永興路11號,南投分局,昱盛工業,南投縣,南投市,1.0,3811.33,v,2646.0,2018.1.3,12/31/2022,,南投市永興路11號
KMA00163,南投市永興路16號,南投分局,圖騰包裝,南投縣,南投市,1.0,201.0,v,139.0,1997.6.20,12/31/2022,,南投市永興路16號
KMA00418,南投市福興里南崗三路77號,南投分局,寶田企業,南投縣,南投市,1.0,1256.93,v,872.0,1997.6.20,12/31/2022,,南投市福興里南崗三路77號
KMA00121,南投市南崗三路99號,南投分局,竹洲工業,南投縣,南投市,1.0,126.0,v,87.0,1997.6.20,12/31/2022,,南投市南崗三路99號
KMA00277,南投市南崗三路282號,南投分局,羽鮮化學,南投縣,南投市,1.0,245.63,v,170.0,1997.6.20,12/31/2022,,南投市南崗三路282號
KMA00580,南投市南崗三路296號,南投分局,固品股份,南投縣,南投市,1.0,1499.76,v,1041.0,1997.6.20,12/31/2022,,南投市南崗三路296號
KMA00627,南投市南崗三路288號,南投分局,長慶汽車,南投縣,南投市,1.0,2268.0,v,1575.0,1997.11.13,12/31/2022,,南投市南崗三路288號
KMA00185,南投市南崗三路298號,南投分局,南陽實業,南投縣,南投市,1.0,141.0,v,97.0,1997.6.20,12/31/2022,,南投市南崗三路298號
KMA00638,南投市南崗三路280號,南投分局,眾成工業,南投縣,南投市,1.0,148.5,v,103.0,1998.8.17,12/31/2022,,南投市南崗三路280號
KMA00707,南投市南崗三路294號,南投分局,鑫永銓股份有限公司,南投縣,南投市,1.0,73.89,v,51.0,1997.6.20,12/31/2022,,南投市南崗三路294號
KMA00209,南投市南崗三路103號,南投分局,義成工廠,南投縣,南投市,1.0,132.0,v,91.0,1997.6.20,12/31/2022,,南投市南崗三路103號
KMA00157,南投市南崗三路290號,南投分局,元大鋼鐵,南投縣,南投市,1.0,245.0,v,170.0,1997.6.20,12/31/2022,,南投市南崗三路290號
KMA00216,南投市南崗三路284號,南投分局,楊鐵公司,南投縣,南投市,1.0,201.0,v,139.0,1997.6.20,12/31/2022,,南投市南崗三路284號
KMA00111,南投市南崗三路276號,南投分局,裕民汽車,南投縣,南投市,1.0,172.0,v,119.0,1997.6.20,12/31/2022,,南投市南崗三路276號
KMA00663,南投市自強一路22號,南投分局,富鈞公司,南投縣,南投市,1.0,1257.43,v,873.0,2018.1.3,12/31/2022,,南投市自強一路22號
KMA00632,南投市平山一路三街46號,南投分局,范至延民宅,南投縣,南投市,1.0,617.0,v,428.0,1998.5.11,12/31/2022,,南投市平山一路三街46號
KMA00309,南投市彰和里彰南路二段340號,南投分局,林水波民宅,南投縣,南投市,1.0,60.01,v,41.0,1997.6.20,12/31/2022,,南投市彰和里彰南路二段340號
KMA00015,南投市彰和里彰南路二段342號,南投分局,邱炳宏民宅,南投縣,南投市,1.0,40.0,v,27.0,1997.6.20,12/31/2022,,南投市彰和里彰南路二段342號
KMA00016,南投市彰和里彰南路二段344號,南投分局,梁明巧民宅,南投縣,南投市,1.0,66.0,v,45.0,1997.6.20,12/31/2022,,南投市彰和里彰南路二段344號
KMA00343,南投市彰和里彰南路二段256號,南投分局,聯合文具,南投縣,南投市,1.0,382.15,v,265.0,1997.6.20,12/31/2022,,南投市彰和里彰南路二段256號
KMA00694,南投市彰和里文化路705巷667號,南投分局,唯心聖教功德基金會,南投縣,南投市,1.0,2252.58,v,1564.0,2017.5.3,12/31/2022,,南投市彰和里文化路705巷667號
KMA00691,南投市彰興里復興路711巷2號,南投分局,富錸建設,南投縣,南投市,1.0,5010.0,v,3479.0,2018.1.3,12/31/2022,
KMA00617,南投市彰興里復興路711號,南投分局,彰興國小,南投縣,南投市,1.0,1264.47,v,878.0,1997.6.20,12/31/2022,,南投市彰興里復興路711號
KMA00666,南投市彰興里復興路480巷36號,南投分局,南投縣審計室,南投縣,南投市,1.0,413.42,v,287.0,2018.1.3,12/31/2022,
KMA00014,南投市彰和里彰南路二段279號,南投分局,陳威彤民宅,南投縣,南投市,1.0,17.25,v,11.0,1997.6.20,12/31/2022,,南投市彰和里彰南路二段279號
KMA00665,南投市彰和里祖祠路361號,南投分局,南投國中,南投縣,南投市,1.0,2154.0,v,1495.0,2018.1.3,12/31/2022,,南投市彰和里祖祠路361號
KMA00307,南投市彰和里南崗二路346號,南投分局,李秋宗民宅,南投縣,南投市,1.0,10.0,v,6.0,1997.6.20,12/31/2022,,南投市彰和里南崗二路346號
KMA00308,南投市彰和里南崗二路348號,南投分局,林金德民宅,南投縣,南投市,1.0,10.0,v,6.0,1997.6.20,12/31/2022,,南投市彰和里南崗二路348號
KMA00109,南投市南崗三路39號,南投分局,名辰公司,南投縣,南投市,1.0,86.0,v,59.0,1997.6.20,12/31/2022,,南投市南崗三路39號
KMA00701,南投市自強三路6號,南投分局,道隆道路標誌器材公司,南投縣,南投市,1.0,709.87,v,492.0,2020.6.20,12/31/2022,,南投市自強三路6號
KMA00703,南投市竹林路10號,南投分局,僑馥建築,南投縣,南投市,1.0,709.73,v,492.0,2020.10.7,12/31/2022,,南投市竹林路10號
KMA00704,南投市彰南路三段540號,南投分局,寬心開發,南投縣,南投市,1.0,982.15,v,682.0,2018.1.3,12/31/2022,,南投市彰南路三段540號
KMA00702,南投市工業南六路6號,南投分局,樹德企業,南投縣,南投市,1.0,9157.35,v,6359.0,2020.8.19,12/31/2022,,南投市工業南六路6號
KMA00664,南投市平山里自強一路11號,南投分局,郁正企業,南投縣,南投市,1.0,1401.62,v,973.0,2018.1.3,12/31/2022,,南投市平山里自強一路11號
KMA00647,南投市自立三路18號,南投分局,俊侑企業,南投縣,南投市,1.0,190.0,v,131.0,1997.6.20,12/31/2022,,南投市自立三路18號
KMA00522,南投市工業南七路7號,南投分局,梁蒙公司,南投縣,南投市,1.0,40.0,v,27.0,1997.6.20,12/31/2022,,南投市工業南七路7號
KMA00531,南投市成功三路186號,南投分局,柏諦企業,南投縣,南投市,1.0,1265.0,v,878.0,2018.1.3,12/31/2022,,南投市成功三路186號
KMA00526,南投市工業南一路16號,南投分局,順德工業,南投縣,南投市,1.0,2400.0,v,1666.0,1997.6.20,12/31/2022,,南投市工業南一路16號
KMA00620,南投市彰南路二段571巷38號,南投分局,福而建設,南投縣,南投市,1.0,1140.25,v,791.0,1997.6.20,12/31/2022,,南投市彰南路二段571巷38號
KMA00585,南投市成功三路331-1號,南投分局,日勝化工,南投縣,南投市,1.0,2087.44,v,1449.0,1997.6.20,12/31/2022,,南投市成功三路331-1號
