類別,電腦編號,地址,緯經度,地下樓層數,可容納人數,管轄分局,備註
拱範宮（香客大樓）,776.0,"麥寮鄉麥津村中山路204號 ","23.74862, 120.25602",1.0,174.0,臺西分局,
麥寮中學,777.0,"麥寮鄉麥津村中興路310號 ","23.75764, 120.25128",1.0,61.0,臺西分局,
一般住宅,778.0,"麥寮鄉麥豐村中正路24號 ","23.74849, 120.25515",1.0,41.0,臺西分局,
一般住宅,779.0,"麥寮鄉麥豐村光復南路266號 ","23.7444, 120.25651",1.0,1733.0,臺西分局,
不公開,780.0,"麥寮鄉麥豐村光復路343號 ","23.74759, 120.25599",1.0,636.0,臺西分局,
五星級商務套房,781.0,"麥寮鄉麥豐村西濱路2段151號 ","23.74951, 120.26053",1.0,130.0,臺西分局,
鶴祥建設公司,782.0,"麥寮鄉麥豐村中華路52號 ","23.75041, 120.25886",1.0,1674.0,臺西分局,
聚安旅社,783.0,"麥寮鄉麥豐村中正路25號 ","23.74832, 120.25502",1.0,49.0,臺西分局,
順利興飼料,784.0,"麥寮鄉麥豐村中山路667號 ","23.75339, 120.2411",1.0,140.0,臺西分局,
黃外科醫院,785.0,"麥寮鄉麥豐村新興路37號 ","23.74726, 120.2516",1.0,275.0,臺西分局,
不公開,786.0,"麥寮鄉麥豐村光復路24號 ","23.74737, 120.25601",1.0,226.0,臺西分局,
鶴祥建設公司,787.0,"麥寮鄉麥豐村光龍江街19號 ","23.7485, 120.25662",1.0,890.0,臺西分局,
鶴祥建設公司,788.0,"麥寮鄉麥豐村光龍江街22號 ","23.7485, 120.25662",1.0,1397.0,臺西分局,
不公開,789.0,"麥寮鄉麥豐村中華路85號 ","23.75087, 120.25877",1.0,180.0,臺西分局,
一般住宅,790.0,"四湖鄉湖西村中正路410號 ","23.63508, 120.22518",1.0,266.0,臺西分局,
"四湖鄉公所
",791.0,四湖鄉湖西村中山西路44號,"23.63801, 120.22434",1.0,506.0,臺西分局,
不公開,792.0,四湖鄉湖西村中山西路94號,"23.63774, 120.22265",1.0,56.0,臺西分局,
"四湖
參天宮
",793.0,四湖鄉湖西村關聖路87號,"23.63904, 120.22679",1.0,4012.0,臺西分局,
"四湖零售市場
",794.0,"四湖鄉湖西村新市街102號 ","23.63665, 120.2251",1.0,162.0,臺西分局,
臺西鄉公有市場,795.0,臺西鄉臺西村中山路297號,"23.70062, 120.19538",1.0,777.0,臺西分局,
不公開,796.0,臺西鄉臺西村中山路122號,"23.70044, 120.1987",1.0,140.0,臺西分局,
鍾慶工業有限公司,797.0,"麥寮鄉興華村忠興路61號 ","23.75193, 120.25159",1.0,700.0,臺西分局,
