電腦編號,類別,村里別,地址,地下樓層數,可容納人數,備註
SNA00122,固道瀝青混凝土股份有限公司,稻香村,花蓮縣吉安鄉香源路20之7號,1.0,316人,
SNA00123,金東里汽車修理廠,稻香村,花蓮縣吉安鄉吉興路一段231號,1.0,92人,
SNA00124,志學分支郵局,志學村,花蓮縣壽豐鄉中山路二段202號,1.0,169人,
SNA00125,志學新邨社區,志學村,花蓮縣壽豐鄉志學新邨68號,1.0,2548人,
SNA00126,邦源建設股份有限公司(公寓),平和村,花蓮縣壽豐鄉吳全129號,1.0,1064人,
SNA00127,邦源建設股份有限公司(公寓),平和村,花蓮縣壽豐鄉吳全129之1號,1.0,1633人,
SNA00128,邦源建設股份有限公司(公寓),平和村,花蓮縣壽豐鄉吳全131號,1.0,1326人,
SNA00129,壽豐鄉電力公司,壽豐村,花蓮縣壽豐鄉公園路42號,1.0,266人,
SNA00130,壽豐中華電信機房,壽豐村,花蓮縣壽豐鄉壽興街21號,1.0,333人,
SNA00131,壽豐鄉農會,壽豐村,花蓮縣壽豐鄉壽山路17號,1.0,419人,
SNA00132,吉安鄉公所(東昌活動中心),東昌村,花蓮縣吉安鄉東海六街76號,1.0,130人,
SNA00133,宜昌國中,宜昌村,花蓮縣吉安鄉宜昌一街41號,1.0,2102人,
SNA00134,宜昌國中(活動中心),宜昌村,花蓮縣吉安鄉宜昌一街43巷15號,1.0,453人,
SNA00135,宜昌國小,宜昌村,花蓮縣吉安鄉宜昌一街45號,1.0,94人,
SNA00136,化仁國中,東昌村,花蓮縣吉安鄉東海十街3號,1.0,350人,
SNA00137,化仁國小,東昌村,花蓮縣吉安鄉東里十一街83號,1.0,693人,
SNA00138,吉安火車站,南昌村,花蓮縣吉安鄉南昌路200號,1.0,213人,
SNA00139,花蓮縣警察局(原仁里消防分隊),仁里村,花蓮縣吉安鄉仁里三街9號,1.0,206人,
SNA00140,南昌村活動中心,南昌村,花蓮縣吉安鄉文化七街64號,1.0,160人,
SNA00141,吉安鄉公所(宜昌村活動中心),宜昌村,花蓮縣吉安鄉吉祥六街50號,1.0,100人,
SNA00142,啟智學校,宜昌村,花蓮縣吉安鄉中山路二段2號,1.0,420人,
SNA00143,吉安鄉公所(停車場),仁里村,花蓮縣吉安鄉中正路一段151號,1.0,2377人,
SNA00144,花蓮監理站,仁和村,花蓮縣吉安鄉中正路二段152號,1.0,280人,
SNA00145,北昌國小,北昌村,花蓮縣吉安鄉自強路533號,1.0,994人,
SNA00146,太昌國小,太昌村,花蓮縣吉安鄉明義五街1號,1.0,836人,
SNA00147,吉安鄉立圖書館,吉安村,花蓮縣吉安鄉中山路三段3號,1.0,158人,
SNA00148,吉安鄉公所(福興村活動中心),福興村,花蓮縣吉安鄉吉安路三段90號,1.0,130人,
SNA00149,花蓮農業改良場,吉安村,花蓮縣吉安鄉吉安路二段150號,1.0,256人,
SNA00150,吉安國小,吉安村,花蓮縣吉安鄉吉安路二段162號,1.0,2604人,
SNA00151,吉安國中,慶豐村,花蓮縣吉安鄉中山路三段622號,1.0,1025人,
SNA00152,南華國小,干城村,花蓮縣吉安鄉吉安路六段60號,1.0,158人,
SNA00153,花蓮監獄,干城村,花蓮縣吉安鄉吉安路六段700號,1.0,46人,
SNA00154,花蓮監獄,干城村,花蓮縣吉安鄉吉安路六段700號,1.0,156人,
SNA00155,花蓮監獄,干城村,花蓮縣吉安鄉吉安路六段700號,1.0,220人,
SNA00156,花蓮監獄,干城村,花蓮縣吉安鄉吉安路六段700號,1.0,1400人,
SNA00157,南華村活動中心,南華村,花蓮縣吉安鄉南華四街123號,1.0,130人,
SNA00158,國立東華大學(文學院),志學村,花蓮縣壽豐鄉大學路二段1號,1.0,1304人,
SNA00159,國立東華大學(仰山莊),志學村,花蓮縣壽豐鄉仰山莊1號,1.0,4017人,
SNA00160,國立東華大學(行政大樓),志學村,花蓮縣壽豐鄉大學路二段1號,1.0,1672人,
SNA00161,平和國中,平和村,花蓮縣壽豐鄉平和路48號,1.0,377人,
SNA00162,壽豐鄉圖書館,壽豐村,花蓮縣壽豐鄉壽山路62號,1.0,162人,
SNA00163,壽豐鄉文化中心,壽豐村,花蓮縣壽豐鄉公園路21號,1.0,267人,
SNA00164,水璉消防分隊(原水璉國小),水璉村,花蓮縣壽豐鄉水璉路6號,1.0,908人,
SNA00165,益華公司(麥當勞速食餐廳),宜昌村,花蓮縣吉安鄉宜昌一街2-3號,1.0,950人,
SNA00166,益華公司(餐廳),宜昌村,花蓮縣吉安鄉中華路二段11號,1.0,6168人,
SNA00167,華登旅館,南昌村,花蓮縣吉安鄉南昌北路34號,1.0,200人,
SNA00168,澄品飯店,宜昌村,花蓮縣吉安鄉宜昌六街11號,1.0,396人,
SNA00169,碧海藍天飯店,宜昌村,花蓮縣吉安鄉宜昌一街2-2號,1.0,950人,
SNA00170,華瀚飯店,東昌村,花蓮縣吉安鄉東海一街100號,1.0,2153人,
SNA00171,函園飯店,勝安村,花蓮縣吉安鄉自強路25號,1.0,200人,
SNA00172,財神飯店,勝安村,花蓮縣吉安鄉慈惠三街114號,1.0,186人,
SNA00173,慈惠堂,勝安村,花蓮縣吉安鄉慈惠三街136號,1.0,326人,
SNA00174,勝安宮,勝安村,花蓮縣吉安鄉慈惠三街118號,1.0,208人,
SNA00175,遠來飯店,鹽寮村,花蓮縣壽豐鄉山嶺路18號,1.0,13857人,
