類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備考
工廠行號,鑫農公司,3-01-027,大堀村,嘉義縣水上鄉大崛村江竹仔腳3-6號,"23.44074, 120.37800",地下1樓,137.0,
工廠行號,新樺鋼鐵公司1,3-01-028,大崙村,嘉義縣水上鄉大崙村大崙162-1號,"23.44831, 120.35371",地下1樓,161.0,
工廠行號,新樺鋼鐵公司2,3-01-029,大崙村,嘉義縣水上鄉大崙村大崙162號,"23.44791, 120.35441",地下1樓,170.0,
工廠行號,新台塑工廠,3-01-030,大崙村,嘉義縣水上鄉大崙村大崙160號,"23.44886, 120.35724",地下1樓,175.0,
工廠行號,大六企業股份有限公司,3-01-031,回歸村,嘉義縣水上鄉回歸村北回60號,"23.44814, 120.41445",地下1樓,128.0,
大樓,順利贏家大廈(順利翔建設),3-01-032,粗溪村,嘉義縣水上鄉粗溪村粗溪20-206號,"23.43544, 120.39453",地下1樓,1323.0,
學校,北回國小,3-01-033,三和村,嘉義縣水上鄉三和村新厝仔1-1號,"23.45422, 120.40972",地下1樓,405.0,
學校,水上國中,3-01-034,水上村,嘉義縣水上鄉水上村進學街45號,"23.42470, 120.39496",地下1樓,729.0,
政府機關,太保市公所,3-02-001,太保里,嘉義縣太保市太保里33號,"23.45896, 120.33224",地下1樓,221.0,
學校,太保國小1,3-02-003,太保里,嘉義縣太保市太保里31號,"23.45461, 120.33125",地下1樓,354.0,
學校,太保國小2,3-02-004,太保里,嘉義縣太保市太保里31號,"23.45495, 120.33089",地下1樓,1001.0,
大樓,新城市大樓(乙群建設),3-02-006,前潭里,嘉義縣太保市前潭里13鄰後潭188-1~188-26號,"23.45251, 120.34483",地下1樓,1199.0,
政府機關,嘉義縣政府,3-02-007,太保里,嘉義縣太保市太保里祥和一路東段1號,"23.45885, 120.29286",地下1樓,1925.0,
嘉義縣警察局,嘉義縣警察局,3-02-009,太保里,嘉義縣太保市太保里祥和一路東段3號,"23.45871, 120.29403",地下1樓,597.0,
嘉義縣警察局,嘉義縣警察局,3-02-010,太保里,嘉義縣太保市太保里祥和一路東段3號,"23.45865, 120.29470",地下1樓,762.0,
公寓,陳福誠,3-02-011,太保里,嘉義縣太保市太保里175-176號,"23.46338, 120.33198",地下1樓,85.0,
公寓,黃吳蔡甲,3-02-012,太保里,嘉義縣太保市太保里170號,"23.46333, 120.33222",地下1樓,30.0,
公寓,黃建二,3-02-013,太保里,嘉義縣太保市太保里171號,"23.46335, 120.33217",地下1樓,25.0,
學校,太保國中,3-02-014,太保里,嘉義縣太保市太保里36號,"23.45570, 120.32998",地下1樓,771.0,
大樓,宏都新國度(宏都建設),3-02-015,太保里,嘉義縣太保市太保里祥和一路東段25巷32號,"23.45836, 120.29577",地下1樓,1255.0,
大樓,崧園鳳凰城(昇晃建設),3-02-016,太保里,嘉義縣太保市太保里太保二路83號,"23.45721, 120.29575",地下1樓,1718.0,
政府機關,嘉義縣稅捐稽徵處,3-02-017,太保里,嘉義縣太保市太保里祥和二路東段5號,"23.45766, 120.29387",地下1樓,3190.0,
政府機關,嘉義縣消防局,3-02-018,太保里,嘉義縣太保市太保里祥和二路東段6號,"23.45691, 120.29355",地下1樓,866.0,
政府機關,教師研習中心,3-02-019,太保里,嘉義縣太保市太保里祥和二路東段8號,"23.45676, 120.29425",地下1樓,7452.0,
學校,大同技術學院(甲),3-02-020,太保里,嘉義縣太保市太保里學府路30號,"23.45222, 120.29151",地下1樓,1805.0,
學校,大同技術學院(乙),3-02-021,太保里,嘉義縣太保市太保里學府路30號,"23.45151, 120.29165",地下1樓,952.0,
學校,大同技術學院(丙),3-02-022,太保里,嘉義縣太保市太保里學府路30號,"23.45045, 120.29033",地下1樓,1785.0,
工廠行號,三福股份有限公司,3-02-024,太保里,嘉義縣太保市太保里11號,"23.45425, 120.33577",地下1樓,213.0,
學校,安東國小,3-02-025,崙頂里,嘉義縣太保市崙頂里1號,"23.45875, 120.30801",地下1樓,342.0,
大樓,遠雄國寶(遠雄建設),3-02-026,春珠里,嘉義縣太保市春珠里保鐵一路二段91號,"23.45404, 120.32554",地下1樓,5166.0,
大樓,長榮文苑,3-02-027,東勢里,嘉義縣太保市東勢里故宮大道777號,"23.46861, 120.29517",地下1樓,5674.0,
圖書館,太保市立圖書館,3-02-028,太保里,嘉義縣太保市太保里31號,"23.45517, 120.33151",地下1樓,73.0,
大樓,文學苑(欣祐建設),3-02-029,太保里,嘉義縣太保市太保里1鄰太保36之50號,"23.45675, 120.33000",地下1樓,202.0,
大樓,蘭苑社區,3-02-030,安仁里,嘉義縣太保市安仁里祥和二路東段88號,"23.45614, 120.29827",地下1樓,1387.0,
工廠行號,金鑽燈具,3-02-031,春珠里,嘉義縣太保市春珠里春珠166號,"23.45311, 120.33574",地下1樓,442.0,
政府機關,永在食安大樓,3-02-032,安仁里,嘉義縣太保市安仁里11鄰太保二路113號,"23.45604, 120.29537",地下1樓,1380.0,
政府機關,鹿草鄉公所,3-03-002,西井村,嘉義縣鹿草鄉西井村鹿草路287號,"23.41146, 120.30828",地下1樓,221.0,
工廠行號,聖德健康公司,3-03-003,鹿草村,嘉義縣鹿草鄉鹿草村鹿草路121號,"23.40922, 120.31239",地下1樓,112.0,
政府機關,嘉義監獄,3-03-005,豐稠村,嘉義縣鹿草鄉豐稠村維新新村1號,"23.43159, 120.28457",地下1樓,913.0,
教會,南靖貴格教會,3-04-001,三鎮村,嘉義縣水上鄉三鎮村8鄰三鎮路65-2號,"23.41566, 120.38679",地下1樓,35.0,
學校,萬能工商1,3-04-003,龍德村,嘉義縣水上鄉龍德村2鄰萬能路1號,"23.43104, 120.39095",地下1樓,654.0,
學校,萬能工商2,3-04-004,龍德村,嘉義縣水上鄉龍德村2鄰萬能路1號,"23.43104, 120.39019",地下1樓,692.0,
工廠行號,南陽化工公司,3-05-001,柳鄉村,嘉義縣水上鄉柳鄉村柳子林199號,"23.44683, 120.41743",地下1樓,272.0,
工廠行號,聖宜樂工業公司,3-05-002,柳鄉村,嘉義縣水上鄉柳鄉村柳子林190號,"23.43997, 120.41762",地下1樓,58.0,
圖書館,水上鄉公所圖書館,3-05-003,柳林村,嘉義縣水上鄉柳林村80-1號,"23.43494, 120.41548",地下1樓,112.0,
工廠行號,榮倫涼椅公司,3-05-004,寬士村,嘉義縣水上鄉寬士村崎子頭34-4號,"23.44686, 120.42405",地下1樓,113.0,
工廠行號,嘉成窯業公司,3-05-006,內溪村,嘉義縣水上鄉內溪村30-8號,"23.43302, 120.42089",地下1樓,112.0,
工廠行號,信孚交通器材公司,3-05-007,寬士村,嘉義縣水上鄉寬士村1-9號,"23.44954, 120.42728",地下1樓,598.0,
工廠行號,盛達食品公司,3-05-008,民生村,嘉義縣水上鄉民生村立業街3巷2-17號,"23.45046, 120.43427",地下1樓,62.0,
大樓,久贏建設股份有限公司,3-05-009,柳鄉村,嘉義縣水上鄉柳鄉村柳子林175之36-41號,"23.43625, 120.41829",地下1樓,1126.0,
學校,柳林國小,3-05-010,柳林村,嘉義縣水上鄉柳林村92號,"23.43529, 120.41530",地下1樓,905.0,
工廠行號,誠泰橡膠,3-05-011,內溪村,嘉義縣水上鄉內溪村6鄰溪仔底7之10號,"23.44146, 120.42752",地下1樓,61.0,
工廠行號,天成食品廠,3-06-001,忠和村,嘉義縣水上鄉忠和村18鄰2-2號,"23.41548, 120.43046",地下1樓,81.0,
納骨塔,嘉雲開發股份有限公司,3-06-002,南鄉村,嘉義縣水上鄉南鄉村1鄰牛稠埔112之3號,"23.42099, 120.45054",地下1樓,1175.0,
工廠行號,冠閤企業股份有限公司,3-07-001,舊埤里,嘉義縣太保市舊埤里新埤1-1號,"23.49425, 120.33356",地下1樓,185.0,
工廠行號,非鐵工業股份有限公司,3-07-002,舊埤里,嘉義縣太保市舊埤里35-1號,"23.48904, 120.33154",地下1樓,135.0,
工廠行號,東鈺家具股份有限公司,3-07-003,舊埤里,嘉義縣太保市舊埤里新埤7-18號,"23.49277, 120.33995",地下1樓,772.0,
學校,新埤國小,3-07-004,新埤里,嘉義縣太保市新埤里5鄰新埤214號,"23.48546, 120.33447",地下1樓,452.0,
工廠行號,南亞塑膠(軟質膠布廠),3-08-001,南新里,嘉義縣太保市南新里北港路2段201號,"23.49636, 120.37526",地下1樓,218.0,
工廠行號,南亞塑膠(聚丙烯膜廠),3-08-002,南新里,嘉義縣太保市南新里北港路2段201號,"23.49402, 120.37844",地下1樓,1930.0,
工廠行號,南亞塑膠(射出工廠),3-08-003,南新里,嘉義縣太保市南新里北港路2段201號,"23.49439, 120.37559",地下1樓,185.0,
工廠行號,南亞塑膠(資材課),3-08-004,南新里,嘉義縣太保市南新里北港路2段201號,"23.49628, 120.37347",地下1樓,231.0,
工廠行號,南亞塑膠(福利大樓),3-08-005,南新里,嘉義縣太保市南新里北港路2段201號,"23.49657, 120.37812",地下1樓,2029.0,
工廠行號,南亞塑膠(硬板廠),3-08-006,南新里,嘉義縣太保市南新里北港路2段201號,"23.49512, 120.37849",地下1樓,3208.0,
醫院,華濟醫院,3-08-008,南新里,嘉義縣太保市南新里北港路2段601巷66號,"23.50139, 120.36514",地下1樓,2271.0,
工廠行號,中華賓士汽車有限公司,3-08-009,南新里,嘉義縣太保市南新里北港路2段85號,"23.49647, 120.38146",地下1樓,101.0,
工廠行號,鴻錡興業公司,3-08-010,南新里,嘉義縣太保市南新里北港路2段105巷87號,"23.49280, 120.37976",地下1樓,145.0,
工廠行號,雄仁工業股份有限公司,3-08-011,南新里,嘉義縣太保市南新里北港路2段105巷56號,"23.49354, 120.37940",地下1樓,168.0,
工廠行號,明毅塑膠機械公司,3-08-012,南新里,嘉義縣太保市南新里北港路2段105巷52號,"23.49402, 120.37962",地下1樓,37.0,
工廠行號,興野機械有限公司,3-08-013,南新里,嘉義縣太保市南新里北港路2段105巷50號,"23.49417424649868, 120.37958",地下1樓,190.0,
工廠行號,嘉太水泥,3-08-014,南新里,嘉義縣太保市南新里北港路2段105巷45號,"23.49381, 120.38001",地下1樓,65.0,
工廠行號,"萬客隆
公司",3-08-015,南新里,嘉義縣太保市南新里北港路2段105巷37號,"23.49457, 120.38014",地下1樓,580.0,
工廠行號,錦泰昌食品公司,3-08-016,南新里,嘉義縣太保市南新里北港路2段105巷33號,"23.49559, 120.38015",地下1樓,37.0,
工廠行號,震錩塑膠機械公司,3-08-017,南新里,嘉義縣太保市南新里南埤路90號,"23.49307, 120.38500",地下1樓,111.0,
工廠行號,億泰機械有限公司,3-08-018,南新里,嘉義縣太保市南新里南埤路48-1號,"23.49429, 120.38454",地下1樓,20.0,
工廠行號,強本公司,3-08-019,南新里,嘉義縣太保市南新里南埤路48號,"23.49499, 120.38416",地下1樓,51.0,
工廠行號,勝興玻璃公司,3-08-020,南新里,嘉義縣太保市南新里中興路2段3巷37號,"23.49252, 120.38337",地下1樓,54.0,
工廠行號,順億玻璃公司,3-08-021,南新里,嘉義縣太保市南新里中興路2段3巷32號,"23.49398, 120.38333",地下1樓,151.0,
學校,南新國小1(第三棟西側),3-08-022,南新里,嘉義縣太保市南新里中山路1段140號,"23.49782, 120.38338",地下1樓,250.0,
學校,南新國小2(第三棟東側),3-08-023,南新里,嘉義縣太保市南新里中山路1段140號,"23.49782, 120.38379",地下1樓,640.0,
大樓,偉鳴財金花園廣場,3-08-024,北新里,嘉義縣太保市北新里中山路1段228巷11號,"23.49921, 120.38096",地下1樓,1278.0,
大樓,偉鳴富家天下,3-08-103,北新里,嘉義縣太保市北新里中山路1段228巷19弄11號,"23.49937, 120.38024",地下1樓,1323.0,
大樓,總統閣廈(弘嘉建設),3-08-025,麻寮里,嘉義縣太保市麻寮里民生路90巷60號,"23.50123, 120.37005",地下1樓,775.0,
工廠行號,嘉義混凝土公司,3-08-026,過溝里,嘉義縣太保市過溝里中興路2號,"23.50824, 120.36307",地下1樓,140.0,
工廠行號,盈松環保公司,3-08-028,過溝里,嘉義縣太保市過溝里中興路5號,"23.50865, 120.36116",地下1樓,79.0,
工廠行號,天珩機械,3-08-027,過溝里,嘉義縣太保市過溝里中興路8號,"23.50762, 120.35963",地下1樓,342.0,
工廠行號,良農機械公司,3-08-031,過溝里,嘉義縣太保市過溝里中興路9號,"23.50867, 120.36021",地下1樓,93.0,
工廠行號,光興塑膠機械公司2,3-08-032,過溝里,嘉義縣太保市過溝里中興路13號,"23.50867, 120.35844",地下1樓,55.0,
工廠行號,統一企業股份有限公司,3-08-033,過溝里,嘉義縣太保市過溝里中興路14號,"23.50794, 120.35791",地下1樓,214.0,
工廠行號,三洋塗料公司,3-08-034,過溝里,嘉義縣太保市過溝里中興路15號,"23.50870, 120.35812",地下1樓,117.0,
工廠行號,阿米諾酸公司,3-08-036,過溝里,嘉義縣太保市過溝里中興路17號,"23.50867, 120.35743",地下1樓,136.0,
工廠行號,鉦佑金屬,3-08-030,過溝里,嘉義縣太保市過溝里中興路20號,"23.50816, 120.35574",地下1樓,66.0,
工廠行號,友良公司4,3-08-039,過溝里,嘉義縣太保市過溝里光復路2號,"23.50566, 120.36444",地下1樓,102.0,
工廠行號,嘉南羊乳公司1,3-08-040,過溝里,嘉義縣太保市過溝里光復路3號,"23.50628, 120.36390",地下1樓,56.0,
工廠行號,懋偉公司,3-08-041,過溝里,嘉義縣太保市過溝里光復路4號,"23.50590, 120.36389",地下1樓,72.0,
工廠行號,億積塑料,3-08-038,過溝里,嘉義縣太保市過溝里光復路5號,"23.50629, 120.36337",地下1樓,94.0,
工廠行號,一山環保,3-08-042,過溝里,嘉義縣太保市過溝里光復路6號,"23.50597, 120.36301",地下1樓,144.0,
工廠行號,百家珍釀,3-08-043,過溝里,嘉義縣太保市過溝里光復路9號,"23.50640, 120.36097",地下1樓,211.0,
工廠行號,友良公司1,3-08-044,過溝里,嘉義縣太保市過溝里光復路10號,"23.50595, 120.36175",地下1樓,96.0,
工廠行號,友良公司2,3-08-045,過溝里,嘉義縣太保市過溝里光復路10號,"23.50598, 120.36274",地下1樓,182.0,
工廠行號,申成公司,3-08-046,過溝里,嘉義縣太保市過溝里光復路11號,"23.50635, 120.36007",地下1樓,70.0,
工廠行號,鍠泰鎰,3-08-049,過溝里,嘉義縣太保市過溝里光復路12號,"23.50600, 120.36117",地下1樓,68.0,
工廠行號,志昌電機公司,3-08-047,過溝里,嘉義縣太保市過溝里光復路13號,"23.50647, 120.35963",地下1樓,60.0,
工廠行號,勇聯公司,3-08-048,過溝里,嘉義縣太保市過溝里光復路14號,"23.50600, 120.36092",地下1樓,72.0,
工廠行號,億達金屬,3-08-051,過溝里,嘉義縣太保市過溝里光復路19號,"23.50643, 120.35815",地下1樓,74.0,
工廠行號,穎沛科技,3-08-052,過溝里,嘉義縣太保市過溝里光復路21號,"23.50635, 120.35763",地下1樓,77.0,
工廠行號,育晉有限公司,3-08-054,過溝里,嘉義縣太保市過溝里光復路22號,"23.50595, 120.35868",地下1樓,167.0,
工廠行號,普麗彩公司,3-08-055,過溝里,嘉義縣太保市過溝里光復路23號,"23.50634, 120.35712",地下1樓,81.0,
工廠行號,"立唐陶藝
有限公司",3-08-058,過溝里,嘉義縣太保市過溝里光復路25號,"23.50633, 120.35696",地下1樓,68.0,
工廠行號,普蘭公司,3-08-053,過溝里,嘉義縣太保市過溝里光復路26號,"23.50600, 120.35759",地下1樓,113.0,
工廠行號,群翔公司,3-08-059,過溝里,嘉義縣太保市過溝里光復路27號,"23.50668, 120.35650",地下1樓,11.0,
工廠行號,群貫工業有限公司,3-08-060,過溝里,嘉義縣太保市過溝里光復路28號,"23.50597, 120.35730",地下1樓,130.0,
工廠行號,億德玻璃有限公司1,3-08-061,過溝里,嘉義縣太保市過溝里光復路28-1號,"23.50600, 120.35679",地下1樓,68.0,
工廠行號,穎佳工業2,3-08-062,過溝里,嘉義縣太保市過溝里光復路29號,"23.50634, 120.35571",地下1樓,22.0,
工廠行號,穎佳工業1,3-08-063,過溝里,嘉義縣太保市過溝里光復路29號,"23.50634, 120.35571",地下1樓,46.0,
工廠行號,呂東實業公司2,3-08-065,過溝里,嘉義縣太保市過溝里光復路31號,"23.50633, 120.35524",地下1樓,48.0,
工廠行號,嘉太材料公司,3-08-066,過溝里,嘉義縣太保市過溝里光復路33號,"23.50635, 120.35487",地下1樓,56.0,
工廠行號,三元化工廠,3-08-068,過溝里,嘉義縣太保市過溝里光復路34號,"23.50589, 120.35538",地下1樓,171.0,
工廠行號,萬鴻科技工業公司,3-08-070,過溝里,嘉義縣太保市過溝里光復路35號,"23.50631, 120.35429",地下1樓,20.0,
工廠行號,豐華機械公司,3-08-071,過溝里,嘉義縣太保市過溝里光復路42號,"23.50592, 120.35306",地下1樓,177.0,
工廠行號,有光工業公司1,3-08-073,過溝里,嘉義縣太保市過溝里嘉太路1號,"23.50675, 120.36210",地下1樓,67.0,
工廠行號,有光工業公司2,3-08-074,過溝里,嘉義縣太保市過溝里嘉太路2號,"23.50628, 120.36279",地下1樓,157.0,
工廠行號,有光工業公司3,3-08-075,過溝里,嘉義縣太保市過溝里嘉太路3號,"23.50711, 120.36178",地下1樓,21.0,
工廠行號,有光工業公司4,3-08-076,過溝里,嘉義縣太保市過溝里嘉太路4號,"23.50710, 120.36242",地下1樓,55.0,
工廠行號,嘉億玻璃有限公司,3-08-077,過溝里,嘉義縣太保市過溝里嘉太路5號,"23.50723, 120.36211",地下1樓,33.0,
工廠行號,大葉建材公司,3-08-102,過溝里,嘉義縣太保市過溝里嘉太路6號,"23.50744, 120.36243",地下1樓,84.0,
工廠行號,宏銘油脂公司,3-08-078,過溝里,嘉義縣太保市過溝里嘉太路7號,"23.50810, 120.36199",地下1樓,266.0,
工廠行號,快又潔、白宮興業公司,3-08-079,過溝里,嘉義縣太保市過溝里嘉太路8號,"23.50806, 120.36250",地下1樓,71.0,
工廠行號,尉昇企業公司,3-08-080,過溝里,嘉義縣太保市過溝里建工路1號,"23.50938, 120.36020",地下1樓,104.0,
工廠行號,裕益汽車,3-08-081,過溝里,嘉義縣太保市過溝里建工路2號,"23.50982, 120.36064",地下1樓,162.0,
工廠行號,嘉南水產公司,3-08-083,過溝里,嘉義縣太保市過溝里建工路4號,"23.51022, 120.36064",地下1樓,47.0,
工廠行號,新健全公司,3-08-084,過溝里,嘉義縣太保市過溝里建工路6號,"23.51041, 120.36065",地下1樓,52.0,
工廠行號,耀智實業,3-08-085,過溝里,嘉義縣太保市過溝里建工路7號,"23.51050, 120.35999",地下1樓,300.0,
工廠行號,呂東實業公司1,3-08-086,過溝里,嘉義縣太保市過溝里和順路1號,"23.50690, 120.35528",地下1樓,71.0,
工廠行號,宏忠公司,3-08-087,過溝里,嘉義縣太保市過溝里和順路2號,"23.50715, 120.35560",地下1樓,66.0,
工廠行號,乾信工業公司,3-08-088,過溝里,嘉義縣太保市過溝里和順路4號,"23.50730, 120.35561",地下1樓,61.0,
工廠行號,穎杰鑄造公司1,3-08-089,過溝里,嘉義縣太保市過溝里和順路5號,"23.50807, 120.35526",地下1樓,57.0,
工廠行號,亞洲虎食品(皇祐公司),3-08-090,過溝里,嘉義縣太保市過溝里和順路6號,"23.50770, 120.35561",地下1樓,27.0,
工廠行號,穎杰鑄造公司2,3-08-091,過溝里,嘉義縣太保市過溝里和順路7號,"23.50828, 120.35529",地下1樓,44.0,
工廠行號,統屋公司,3-08-092,過溝里,嘉義縣太保市過溝里興業路1號,"23.50938, 120.35814",地下1樓,54.0,
工廠行號,奕鼎公司,3-08-093,過溝里,嘉義縣太保市過溝里興業路2號,"23.50940, 120.35846",地下1樓,73.0,
工廠行號,光興塑膠機械公司1,3-08-094,過溝里,嘉義縣太保市過溝里興業路3號,"23.50964, 120.35815",地下1樓,133.0,
學校,南新國小3(第四棟),3-08-095,南新里,嘉義縣太保市南新里中山路1段140號,"23.49856, 120.38317",地下1樓,1030.0,
大樓,詹宗仁大樓,3-08-096,過溝里,嘉義縣太保市過溝里麻太路190號,"23.49794, 120.36371",地下1樓,225.0,
大樓,順利翔建設,3-08-097,麻寮里,嘉義縣太保市麻寮里15鄰北港路二段424巷1號,"23.49900, 120.36980",地下1樓,474.0,
工廠行號,炳謀企業社,3-08-098,南新里,嘉義縣太保市南新里15鄰北港路二段145號,"23.49670, 120.37935",地下1樓,123.0,
大樓,再耕建設,3-08-099,南新里,嘉義縣太保市南新里中山路一段293號一樓之2,"23.49830, 120.37879",地下1樓,211.0,
政府機關,嘉義育樂公司,3-08-100,南新里,嘉義縣太保市南新里3鄰中山路一段64號,"23.49641, 120.38702",地下1樓,1100.0,
學校,嘉新國中,3-08-101,北新里,嘉義縣太保市北新里中興路一段250號,"23.50027, 120.37839",地下1樓,315.0,
