編號,村里別,地址,可容納人數,地下樓層數,類別,備註
22.0,東溪里,彰化縣溪湖鎮東溪里員鹿路1段42號,"67 ","1 ",維美家紡工業公司,
23.0,光平里,彰化縣溪湖鎮光平里行政街262之1號,"396 ","1 ",大樓,
24.0,光平里,彰化縣溪湖鎮光平里東環路425之1號,"393 ","1 ",真耶穌教會,
25.0,光平里,彰化縣溪湖鎮光平里東環路555號,"617 ","1 ",國泰人壽,
26.0,光華里,彰化縣溪湖鎮光華里二溪路1段26號,"160 ","1 ",溪湖電信局,
27.0,平和里,彰化縣溪湖鎮平和里員鹿路3段69號,"27 ","1 ",溪湖鎮農會,
28.0,平和里,彰化縣溪湖鎮平和里民生街9號,"2,129 ","1 ",溪湖鎮第一公有零售市場,
29.0,西寮里,彰化縣溪湖鎮西寮里員鹿路4段660號,"21 ","1 ",喬統工業公司,
30.0,西溪里,彰化縣溪湖鎮西溪里忠工路262號,"51 ","1 ",昱欣塑膠公司,
31.0,西溪里,彰化縣溪湖鎮西溪里員鹿路後溪巷99號,"24 ","1 ",洪隆企業公司,
32.0,西溪里,彰化縣溪湖鎮西溪里員鹿路後溪巷79之61號,"88 ","1 ",彰益車業公司,
33.0,中山里,彰化縣溪湖鎮中山里銀錠路666號,"21 ","1 ",大樓,
34.0,忠覺里,彰化縣溪湖鎮忠覺里忠工路24號,"64 ","1 ",桂宬公司,
35.0,埔心村,彰化縣埔心鄉埔心村員鹿路3段320號,"171 ","1 ",信國塑膠,
36.0,義民村,彰化縣埔心鄉義民村員鹿路2段328號,"253 ","1 ",埔心鄉圖書館,
37.0,義民村,彰化縣埔心鄉義民村忠義北路100號,"87 ","1 ",埔心鄉農會,
38.0,義民村,彰化縣埔心鄉義民村育英路5之2號,"734 ","1 ",山雲建設,
39.0,義民村,彰化縣埔心鄉義民村忠義北路51號,"1,285 ","1 ",埔心國中,
40.0,義民村,彰化縣埔心鄉義民村員鹿路2段344號,"1,043 ","1 ",埔心鄉公所,
41.0,東門村,彰化縣埔心鄉東門村中正路216號,"109 ","1 ",正大造紙廠,
42.0,東門村,彰化縣埔心鄉東門村中正路192號,"128 ","1 ",六合機械公司,
43.0,東門村,彰化縣埔心鄉東門村中正路189號,"75 ","1 ",帝陽塑膠公司,
44.0,東門村,彰化縣埔心鄉東門村中正路1段463號,"365 ","1 ",埔心電信局,
45.0,東門村,彰化縣埔心鄉東門村員鹿路2段189號,"189 ","1 ",源益製罐公司,
46.0,東門村,彰化縣埔心鄉東門村中正路1段98號,"197 ","1 ",尚記建設,
47.0,東門村,彰化縣埔心鄉東門村中正路1段350號,"141 ","1 ",國章建設公司,
48.0,東門村,彰化縣埔心鄉東門村新興路122號,"316 ","1 ",普明開發公司,
49.0,東門村,彰化縣埔心鄉東門村員鹿路2段197號,"87 ","1 ",佑叡公司,
50.0,油車村,彰化縣埔心鄉油車村瑤鳳路2段406號,"47 ","1 ",通發橡膠公司,
51.0,瓦北村,彰化縣埔心鄉瓦北村瑤鳳路1段340號,"257 ","1 ",結華車料公司,
52.0,瓦北村,彰化縣埔心鄉瓦北村員鹿路1段345號,"291 ","1 ",華德美紙廠,
53.0,瓦北村,彰化縣埔心鄉瓦北村瑤鳳路1段320號,"245 ","1 ",尚峰與業公司,
54.0,瓦北村,彰化縣埔心鄉瓦北村員鹿路5之31號,"120 ","1 ",五山食品,
55.0,瓦北村,彰化縣埔心鄉瓦北村柳橋東323號,"97 ","1 ",傑欣貿易公司,
56.0,瓦北村,彰化縣埔心鄉瓦北村西安南路178號,"396 ","1 ",明聖國小,
57.0,瓦北村,彰化縣埔心鄉瓦北村柳橋東路250號,"406 ","1 ",五山食品,
58.0,瓦南村,彰化縣埔心鄉瓦南村中山路311號,"256 ","1 ",臺隆塑膠公司,
59.0,瓦南村,彰化縣埔心鄉瓦南村中山路319號,"8,824 ","1 ",大樓,
60.0,太平村,彰化縣埔心鄉太平村自強路67號,"315 ","1 ",員林紡織公司,
61.0,經口村,彰化縣埔心鄉經口村經口路23號,"222 ","1 ",川奇機械公司,
62.0,經口村,彰化縣埔心鄉經口村柳橋西路75號,"48 ","1 ",有為工業公司,
63.0,經口村,彰化縣埔心鄉經口村經口路77巷51號,"108 ","1 ",大樓,
64.0,舊館村,彰化縣埔心鄉舊館村員鹿路4段201號,"156 ","1 ",舊館國小,
65.0,舊館村,彰化縣埔心鄉舊館村員鹿路4段30號,"87 ","1 ",允強實業公司,
66.0,舊館村,彰化縣埔心鄉舊館村員鹿路4段33號,"303 ","1 ",允強實業公司,
67.0,舊館村,彰化縣埔心鄉舊館村中正路2段80號,"12,412 ","1 ",衛福部彰化醫院,
68.0,芎蕉村,彰化縣埔心鄉芎蕉村員鹿路5段384號,"317 ","1 ",瑞星鞋廠,
69.0,二重村,彰化縣埔心鄉二重村五通南路180號,"83 ","1 ",貝世登實業公司,
70.0,太平村,彰化縣埔鹽鄉太平村大新路1巷25號,"151 ","1 ",岱聖公司,110.11.11
71.0,永樂村,彰化縣埔鹽鄉永樂村番金路94之11號,"864 ","1 ",聚隆纖維公司,110.11.11
72.0,好修村,彰化縣埔鹽鄉好修村員鹿路2段60號,"217 ","1 ",埔鹽鄉圖書館,110.11.11
73.0,角樹村,彰化縣埔鹽鄉角樹村員鹿路1段118號,"80 ","1 ",羽展工業,110.12.06
74.0,角樹村,彰化縣埔鹽鄉角樹村員鹿路1段129號,"42 ","1 ",宏洋精密,110.12.06
75.0,埔鹽村,彰化縣埔鹽鄉埔鹽村彰水路2段150號,"120 ","1 ",世家塑膠股份有限公司,
76.0,埔鹽村,彰化縣埔鹽鄉埔鹽村中正路27巷23弄7號,"565 ","1 ",埔鹽鄉私有零售市場,
77.0,埔南村,彰化縣埔鹽鄉埔南村埔菜路52之21號,"88 ","1 ",順昱實業股份有限公司,
78.0,埔南村,彰化縣埔鹽鄉埔南村彰水路1段365巷16號,"265 ","1 ",大樓,
79.0,埔南村,彰化縣埔鹽鄉埔南村埔菜路67號,"64 ","1 ",吉品機械有限公司,
80.0,埔南村,彰化縣埔鹽鄉埔南村彰水路1段205號之6,"119 ","1 ",建宏塑膠有限公司,
81.0,出水村,彰化縣埔鹽鄉出水村埔港路32之2號,"81 ","1 ",互利國際股份有限公司,
