編號,村里別,地址,可容納人數,地下樓層數,類別,備註
95.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段76號,"81 ","1 ",大樓,
96.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段607號,"80 ","1 ",大樓,
97.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段80號,"70 ","1 ",大樓,
98.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段82號,"337 ","1 ",大樓,
99.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段557號,"162 ","1 ",大樓,
100.0,豊崙村,彰化縣埤頭鄉豊崙村光復路3號,"144 ","1 ",大樓,
101.0,豊崙村,彰化縣埤頭鄉豊崙村和平路13號,"324 ","1 ",大樓,
102.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段486巷6號,"238 ","1 ",大樓,
103.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段609-4號,"173 ","1 ",大樓,
104.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段468巷5號,"62 ","1 ",大樓,
105.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段88號,"65 ","1 ",大樓,
106.0,豊崙村,彰化縣埤頭鄉豊崙村斗苑東路180巷9號,"233 ","1 ",大樓,
107.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段581號,"162 ","1 ",大樓,
108.0,豊崙村,彰化縣埤頭鄉豊崙村彰水路4段470號,"272 ","1 ",大樓,
109.0,合興村,彰化縣埤頭鄉合興村斗苑西路32號,"824 ","1 ",大樓,
110.0,大湖村,彰化縣埤頭鄉大湖村彰水路二段400號,"70 ","1 ",大樓,
111.0,大湖村,彰化縣埤頭鄉大湖村中央路89之10號,"157 ","1 ",大樓,
112.0,溪州村,彰化縣溪州鄉溪州村中央路3段300號,"164 ","1 ",溪州國中,
113.0,溪州村,彰化縣溪州鄉溪州村中央路3段321號,"174 ","1 ",大樓,
114.0,溪州村,彰化縣溪州鄉溪州村中山路3段270巷2號,"709 ","1 ",大樓,
115.0,溪厝村,彰化縣溪州鄉溪厝村中山路2段602號,"2,612 ","1 ",大樓,
116.0,溪厝村,彰化縣溪州鄉溪厝村中山路2段602號-1,"2,616 ","1 ",大樓,
117.0,溪厝村,彰化縣溪州鄉溪厝村中山路2段705號,"56 ","1 ",大樓,
118.0,尾厝村,彰化縣溪州鄉尾厝村溪下路4段268號,"176 ","1 ",大樓,
119.0,尾厝村,彰化縣溪州鄉尾厝村文化路22號,"353 ","1 ",大樓,
120.0,尾厝村,彰化縣溪州鄉尾厝村中山路4段441巷30號,"208 ","1 ",大樓,
121.0,尾厝村,彰化縣溪州鄉尾厝村溪下路4段556號,"314 ","1 ",大樓,
122.0,尾厝村,彰化縣溪州鄉尾厝村中山路3段462號,"121 ","1 ",大樓,
123.0,水尾村,彰化縣溪州鄉水尾村中山路1段20號,"1,349 ","1 ",大樓,
124.0,水尾村,彰化縣溪州鄉水尾村中山路1段24號,"288 ","1 ",大樓,
125.0,西畔村,彰化縣溪州鄉西畔村登山路3段135號,"526 ","1 ",大樓,
