類別,里別,防空疏散避難設施地址,可容納人數,"unnamed (1)","unnamed (2)"
"佳聯有線
",平和里,虎尾鎮平和里光復路64至66號,548.0,,
"大成商工
行政大樓",平和里,虎尾鎮平和里光復路130號,888.0,,
圖書館,平和里,虎尾鎮平和里光明路68號,808.0,,
不開放,瓦瑤村,元長鄉瓦瑤村中央路1之5號,378.0,,
"土庫鎮公所
",石廟里,土庫鎮石廟里10鄰中興路175號,2764.0,,
大樓,立仁里,虎尾鎮立仁里北平路228號,4086.0,,
公寓,立仁里,虎尾鎮立仁里復興路147巷號,226.0,,
公寓,立仁里,虎尾鎮立仁里北平路218號,48.0,,
大樓,立仁里,虎尾鎮立仁里立仁路51號,2012.0,,25494.0
大樓,立仁里,虎尾鎮立仁里忠孝路216號,2302.0,,
大樓,立仁里,虎尾鎮立仁里北平路250號,4085.0,,
公寓,立仁里,虎尾鎮立仁里復興路149號,3570.0,,
"立仁國小
後棟",立仁里,虎尾鎮立仁里立仁路40號,541.0,,
"立仁國小
西棟",立仁里,虎尾鎮立仁里立仁路40號,736.0,,
大樓,西安里,虎尾鎮西安里中正路263號,423.0,,
大樓,西安里,虎尾鎮西安里26鄰八德街101號,1815.0,,
公寓,西安里,虎尾鎮西安里林森路2段57、59號,2886.0,,
大樓,西安里,虎尾鎮西安里中正路189號,339.0,,
白宮影城,西安里,虎尾鎮西安里中正路257號,93.0,,
"虎科大
",西安里,虎尾鎮西安里工專路103號,146.0,,
"虎科大學
單一館",西安里,虎尾鎮西安里文化路64號,535.0,,
"虎科大學
機械館",西安里,虎尾鎮西安里文化路64號,2388.0,,
"虎科大學
行政大樓",西安里,虎尾鎮西安里文化路64號,724.0,,
登豐米蘭,西安里,虎尾鎮西安里林森路2段57、59號,2886.0,,
"虎科技大學
文理大樓",西安里,虎尾鎮西安里文化路64號,1376.0,,59453.0
土庫鎮公所零售市場,忠正里,土庫鎮忠正里文化路5號,872.0,,
禾康公司,忠正里,土庫鎮忠正里中華路58號,179.0,,
蔡醫院,忠正里,土庫鎮忠正里中山路64號,114.0,,
大樓,東仁里,虎尾鎮東仁里三民路35號,1630.0,,
國泰人壽,東仁里,虎尾鎮東仁里信義路67號,45.0,,
"虎尾高中
至善樓",東仁里,虎尾鎮東仁里光復路222號,563.0,,
"虎尾高中
圖書館",東仁里,虎尾鎮東仁里光復路222號,615.0,,
上毅公司,東仁里,虎尾鎮東仁里信義路28號,301.0,,
"鄉寶公司
世中居大樓",東仁里,虎尾鎮東仁里福民路76號,590.0,,
東仁國中辦公大樓,東仁里,虎尾鎮東仁里東明路85號,568.0,,
"東仁國中
停車場",東仁里,虎尾鎮東仁里31鄰東明路85號,3952.0,,
不開放,東平里,土庫鎮東平里民族路40號,589.0,,
不開放,長北村,元長鄉長北村中山路124之2號,196.0,,
公寓,長南村,元長鄉長南村中山路31號,109.0,,
不開放,長南村,元長鄉長南村中山路42號,129.0,,
"元長鄉
圖書館",長南村,元長鄉長南村仁愛路1之1號,94.0,,
不開放,長南村,元長鄉長南村仁愛路1號,585.0,,
公寓,惠來里,虎尾鎮惠來里惠來145之10號,169.0,,
殯葬管理所,惠來里,虎尾鎮惠來里惠來201號,456.0,,
台榮企業,惠來里,虎尾鎮惠來里惠來112號,96.0,,
公寓,越港里,土庫鎮越港里成功路1之62號,41.0,,
永年中學,越港里,土庫鎮越港里建國路13號,157.0,,
"土庫國小
越港分校",越港里,土庫鎮越港里林森路120號,1619.0,,
順天宮香客大樓,順天里,土庫鎮順天里中正路107巷16號,133.0,,
"土庫商工
工科大樓",順天里,土庫鎮順天里中央路2號,491.0,,
土庫商工圖書館,順天里,土庫鎮順天里中央路2號,529.0,,
巨路國際公司,順天里,土庫鎮順天里中央路71號,260.0,,
"土庫商工
體育館",順天里,土庫鎮順天里中央路2號,529.0,,
"台大醫院
虎尾院區",廉使里,虎尾鎮廉使里學府路95號,6264.0,,
大樓,新吉里,虎尾鎮新吉里工專路281號,1653.0,,
大樓,新吉里,虎尾鎮新吉里林森路2段436巷68號,918.0,,
大樓,新吉里,虎尾鎮新吉里工專路231號,969.0,,
公寓,新吉里,虎尾鎮新吉里工專路113號,910.0,,
公寓,新興里,虎尾鎮新興里光復路441號,356.0,,
大樓,新興里,虎尾鎮新興里新生路92號,266.0,,
大樓,新興里,虎尾鎮新興里民生路46號,353.0,,
雲林縣稅務局虎尾分局,新興里,虎尾鎮新興里光明路118號,864.0,,
虎尾地政事務所,新興里,虎尾鎮新興里光明路120號,661.0,,
"虎尾
鎮公所",新興里,虎尾鎮新興里行政路6號,1000.0,,
源欣安股份有限公司,新興里,虎尾鎮新興里和平路17號,906.0,,
不開放,新興里,虎尾鎮新興里新興路80號,937.0,,
不開放,新興里,虎尾鎮新興里新生路136號,1102.0,,
元富證券,新興里,虎尾鎮新興里中正路15號,772.0,,
海洋商業大樓,新興里,虎尾鎮新興里光復路443號,264.0,,
若瑟醫院A棟,新興里,虎尾鎮新興里民權路2號,2466.0,,
公寓,德興里,虎尾鎮德興里復興路84號,1754.0,,
公寓,德興里,虎尾鎮德興里德興路75巷6號,1838.0,,
大樓,德興里,虎尾鎮德興里德興路155號,1253.0,,
聯合報虎尾辦事處,德興里,虎尾鎮德興里北平路64號,493.0,,
天主堂,德興里,虎尾鎮德興里北平路77號,499.0,,
不開放,德興里,虎尾鎮德興里德興路97號,253.0,,
友華生技醫藥股份有限公司,墾地里,雲林縣虎尾鎮墾地里1鄰科虎路128號,1000.0,,
松嶺實業有限公司,墾地里,虎尾鎮墾地里1鄰永興北二街150號,2100.0,,
雲林家扶中心,穎川里,虎尾鎮穎川里1鄰頂南56號,1144.0,,
公寓,興新里,土庫鎮興新里頂圍路36號,425.0,,
敬業公司,興新里,虎尾鎮興新里和平路17號,2044.0,,
若瑟醫院B棟,興新里,虎尾鎮興新里新生路74號,333.0,,
安慶國小,安慶里,虎尾鎮安慶里中山路36號,897.0,,
安安婦產科,穎川里,虎尾鎮穎川里林森路2段428號,661.0,,
