電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註
EOA00044,協欣公司,南興里,24.907571,121.259684,B1,297,大溪分局,
EOA00045,英業達電腦公司,南興里,24.903852,121.263218,B1,156,大溪分局,
EOA00046,台灣電力公司,仁善里,24.912419,121.289163,B1,27,大溪分局,
EOA00048,太平洋電纜公司,南興里,24.905363,121.262413,B1,148,大溪分局,
EOA00050,太平洋電纜公司,南興里,24.905363,121.262413,B1,177,大溪分局,
EOA00051,太平洋電纜公司,南興里,24.899307,121.267423,B1,444,大溪分局,
EOA00052,新光紡織公司,仁善里,24.919067,121.287612,B1,143,大溪分局,
EOA00053,鄉城社區,仁愛里,24.905497,121.272465,B1,208,大溪分局,
EOA00054,華福食品公司,仁武里,24.906047,121.285208,B1,531,大溪分局,
EOA00056,品達科技,瑞源里,24.886277,121.257164,B1,87,大溪分局,
EOA00057,大勝木器行,瑞源里,24.877431,121.263465,B1,13,大溪分局,
EOA00059,信昌公司,瑞源里,24.875853,121.258462,B1,1306,大溪分局,
EOA00060,員樹林郵局,光明里,,,B1,108,大溪分局,不對外設置標誌牌
EOA00061,台北新格社區,三元里,24.884096,121.27052,B1,247,大溪分局,
EOA00062,橋頭堡大樓,光明里,24.885636,121.270239,B1,410,大溪分局,
EOA00063,名家貴族社區,瑞源里,24.880293,121.262172,B1,218,大溪分局,
EOA00064,菸酒公賣局,瑞源里,24.868814,121.256791,B1,534,大溪分局,
EOA00065,啟譽工業公司,義和里,24.850812,121.276229,B1,20,大溪分局,
EOA00067,益興電子公司,康安里,24.861573,121.282791,B1,536,大溪分局,
EOA00068,大溪湖畔咖啡,復興里,24.8193794,121.2887123,B1,153,大溪分局,
EOA00071,早安大溪社區,瑞興里,24.8968531,121.2885412,B1,1083,大溪分局,
EOA00072,瑞興國宅社區,瑞興里,24.8917289,121.2804156,B1,2298,大溪分局,
"EOA00073 ",歡喜樓社區,美華里,24.87367,121.304036,B2,184,大溪分局,
EOA00074,鴻禧育樂股份有限公司,永福里,24.880679,121.327131,B1,825,大溪分局,
EOA00075,鴻禧育樂股份有限公司,永福里,24.880679,121.327131,B1,825,大溪分局,
EOA00076,復興青年活動中心,澤仁里,24.813089,121.350914,B1,121,大溪分局,
EOA00077,呂理宏,福仁里,24.884477,121.285474,B1,"224 ",大溪分局,
EOA00078,江建發建設公司,田心里,24.883244,121.29116,B1,"205 ",大溪分局,
EOA00079,日新建設公司,一心里,24.877212,121.291653,B1,"830 ",大溪分局,
EOA00080,保住建設公司(許長富),一德里,24.876918,121.290915,B1,"755 ",大溪分局,
EOA00081,福祿壽,田心里,24.883802,121.291592,B1,"879 ",大溪分局,
EOA00082,葉的苑,一心里,24.8795044,121.2928499,B1,"131 ",大溪分局,
EOA00083,台北鄉親大廈,一德里,24.876288,121.290815,B1,"694 ",大溪分局,
EOA00084,文化大地大廈,一德里,24.876993,121.289428,B1,"694 ",大溪分局,
EOA00085,富貴大廈,一德里,24.877606,121.290306,B1,"500 ",大溪分局,
EOA00088,發財村大樓,田心里,24.883336,121.294131,B1,"625 ",大溪分局,
EOA00089,大溪區公所,興和里,24.881878,121.28597,B1,"297 ",大溪分局,
EOA00090,簡石玉,興和里,24.882764,121.287525,B1,"33 ",大溪分局,
EOA00091,勝營水電,瑞興里,24.8968847,121.2885705,6,475,大溪分局,
EOA00092,百音電子公司,田心里,24.888186,121.297184,B1,"570 ",大溪分局,
EOA00094,嘉益工廠,月眉里,24.894517,121.303934,B1,"97 ",大溪分局,
EOA00095,龜山電機,一德里,24.871347,121.285699,B1,"46 ",大溪分局,
EOA00096,第一銀行,興和里,,,B1,"230 ",大溪分局,
EOA00097,巨浩企業,田心里,24.88551,121.293652,B1,"60 ",大溪分局,
EOA00098,明鶯公司,一德里,24.86683,121.284171,B1,"148 ",大溪分局,
EOA00099,臺灣菸酒公司,一德里,24.875312,121.287423,B1,"184 ",大溪分局,
EOA00101,中華電信,興和里,,,B1,477,大溪分局,不對外設置標誌牌
EOA00102,台北凱撒,仁義里,24.923233,121.296252,B1,5407,大溪分局,
EOA00103,鉅典大樓,一德里,24.878244,121.288162,B1,454,大溪分局,
EOA00104,林純超,興和里,24.880981,121.288863,B1,246,大溪分局,
EOA00105,軍眷住宅,一德里,24.872475,121.283776,B1,1001,大溪分局,
EOA00106,華聲電子公司,義和里,24.845895,121.272603,B1,834,大溪分局,
EOA00107,德富大樓,一德里,24.876477,121.289601,B1,2910,大溪分局,
EOA00108,力行大樓,一心里,24.880692,121.288798,B1,265,大溪分局,
EOA00109,復興區公所,澤仁里,24.814771,121.351098,B1,309,大溪分局,
EOA00110,帝國天廈社區,一心里,24.881746,121.28947,B1,1098,大溪分局,
EOA00111,鴻禧育樂股份有限公司,永福里,24.888076,121.323739,B1,356,大溪分局,
EOA00112,萬富閣社區,一德里,24.876477,121.289601,B1,1454,大溪分局,
EOA00113,學府世家社區,一心里,24.879919,121.291271,B1,831,大溪分局,
EOA00114,夢想家社區,瑞源里,24.881029,121.26191,B1,517,大溪分局,
EOA00116,英業達電腦公司,南興里,24.906225,121.260901,B1,6730,大溪分局,
EOA00117,田心國小,一心里,24.880668,121.292334,B1,585,大溪分局,
EOA00118,國泰人壽公司,一德里,24.877519,121.288346,B1,350,大溪分局,
EOA00119,香雲文教會,瑞興里,24.9169155,121.2970572,B2,992,大溪分局,
EOA00120,花王公司,瑞興里,24.9149054,121.2978427,B2,265,大溪分局,
EOA00121,福安國小,福安里,24.850352,121.288517,B1,277,大溪分局,
EOA00122,桃園市政府,一心里,24.879598,121.288627,B1,612,大溪分局,
EOA00123,鈞寶帝國,仁愛里,24.903129,121.274861,B1,2210,大溪分局,
EOA00124,雙橡園社區,僑愛里,24.921793,121.292695,B1,1515,大溪分局,
EOA00125,大溪國小,福仁里,24.884169,121.286798,B1,838,大溪分局,
"EOA00126 ",妙覺寺,美華里,24.86962,121.302481,B1,465,大溪分局,
EOA00127,綠花園社區,光明里,24.88562,121.270409,B1,1541,大溪分局,
EOA00128,新光合成纖維公司,仁愛里,24.917266,121.287943,B1,2784,大溪分局,
EOA00129,佛光山寶塔寺,美華里,24.86302,121.305216,B3,2393,大溪分局,
EOA00130,江士香祭祀公業,仁和里,24.892753,121.274186,B1,673,大溪分局,
EOA00131,大來賞社區,仁愛里,24.903129,121.274861,B1,2865,大溪分局,
EOA00132,復興衛生所,澤仁里,24.815101,121.350999,B1,36,大溪分局,
EOA00133,宜辰大樓,仁和里,24.894367,121.274929,B1,832,大溪分局,
EOA00134,仁和國小,仁和里,24.898273,121.276764,B1,1158,大溪分局,
EOA00135,劉瑞嬌,一德里,24.879056,121.287779,B1,605,大溪分局,
EOA00136,大溪高中,一德里,24.869162,121.285033,B1,1820,大溪分局,
EOA00137,員樹林國小,員林里,24.882895,121.265943,B1,744,大溪分局,
EOA00138,一天山(靈骨塔),美華里,24.885266,121.30202,B2,501,大溪分局,
EOA00139,大樓,仁善里,24.908774,121.28621,B1,788,大溪分局,
EOA00140,笠復投資公司,一德里,24.869162,121.285033,B1,627,大溪分局,
EOA00141,全家便利商店股份有限公司,仁善里,24.919008,121.288772,B1,3738,大溪分局,
EOA00142,鑫興大樓,南興里,24.89923,121.260617,B1,1279,大溪分局,
EOA00143,京都城大樓,光明里,24.883934,121.270397,,285,大溪分局,
EOA00144,真綻美社區,仁善里,24.915049,121.281136,B1,640,大溪分局,
EOA00145,佳泰大樓,仁武里,24.906584,121.284869,B1,1863,大溪分局,
EOA00146,翔嘉大樓,一德里,24.8748961,121.2880966,B1,391,大溪分局,
EOA00147,慶升大樓,仁愛里,24.90195,121.277677,B1,322,大溪分局,
EOA00148,慶賀天闊,仁和里,24.894449,121.270913,B2,1057,大溪分局,
EOA00149,明尚大樓,一心里,24.8782285,121.2886408,B1,499,大溪分局,
EOA00150,三本公園,仁善里,24.913996,121.2794493,B3,6239,大溪分局,
EOA00151,大溪分局,福安里,,,B2,1147,大溪分局,不對外設置標誌牌
EOA00152,三橋渡假旅店,瑞興里,24.8882938,121.2790736,B2,513,大溪分局,
EOA00153,真耶穌教會,仁武里,24.8995371,121.2790992,B1,141,大溪分局,
EOA00154,昱郡美學大樓,光明里,24.8911558,121.2706323,B1,744,大溪分局,
EOA00155,交通警察大隊,仁和里,,,B1,322,大溪分局,不對外設置標誌牌
EOA00156,大溪國小,福仁里,24.883759,121.286851,B1,2200,大溪分局,
EOA00157,黃徐雪貞,一心里,24.880577,121.290396,B1,326,大溪分局,
EOA00158,森巴黎社區,一心里,24.877893,121.291428,B2,410,大溪分局,
EOA00159,富都香榭社區,仁文里,24.899717,121.2855718,B2,425,大溪分局,
EOA00160,雙橡園二期,僑愛里,24.9216536,121.290169,B1,771,大溪分局,
EOA00161,慶賀天擎大樓,員林里,24.885912,121.2675805,B2,753,大溪分局,
EOA00162,大樓,仁和里,24.8970193,121.2793891,B2,1764,大溪分局,
EOA00163,廚霸王公司,南興里,24.9068649,121.2583208,B1,506,大溪分局,
EOA00164,一本溪大樓,員林里,24.88433,121.2669394,B2,640,大溪分局,
EOA00165,真綻社區,南興里,24.912518,121.264501,B2,1232,大溪分局,
EOA00166,國家君臨社區,光明里,24.883701,121.272501,B2,1260,大溪分局,
EOA00167,仁仁和社區,仁和里,24.89764,121.28054,B3,674,大溪分局,
EOA00168,精浚科技股份有限公司,中新里,24.9324601,121.3199241,B1,2096,大溪分局,
EOA00169,幸福7號社區,仁善里,24.91793,121.27198,B3,927,大溪分局,
EOA00170,晶碩光學股份有限公司,南興里,24.9049207,121.2629438,B2,6132,大溪分局,
EOA00171,內柵國民小學,義和里,24.8560856,121.279416,B1,139,大溪分局,
EOA00172,逍遙社區,員林里,24.8859824,121.2660568,B2,1262,大溪分局,
,,,,,,,,
EOA00173,真綻美社區,南興里,24.91095,121.26449,B01B02,753,大溪分局,
EOA00174,捷翔曇築社區,仁善里,24.9098935,121.2720506,B01B02,670,大溪分局,
EOA00171,內柵國民小學,義和里,24.856086,121.279416,B01,139,大溪分局,
,,,,,,,,
,,,,,,,,
,,,,,,,,
EOA00177,新亞銂股份有限公司,仁美里,24.916861,121.29039,B1,1439,大溪分局,
EOA00176,合雄豐韻社區,仁和里,24.8970654,121.2764969,B1B2B3,1834,大溪分局,
EOA00175,家那大社區,員林里,24.8941801,121.2465786,B1,366,大溪分局,
,,,,,,,,
,,,,,,,,
